,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,5.9,--,Lindsay Shonteff,Len Deighton,"A British spy is framed, so he must evade the KGB, the CIA and the British Intelligence to reach the the heart of the conspiracy in Arctic.",1h 43m,Spy Story
1,--,--,Luis Colombo,Luis ColomboMiguel LizondoJavier Moreno,Add a plot,1h 23m,Comando terrorista
2,3.0,--,Charlie Wiener,Michael McNamara,"The people's private army and their crazed leader Jake, have a simple plan - take over the world. But, there are three things in their way, money and two deadly kickboxers - The Twin Dragons (Michael and Martin McNamara). Jake's devious plan has the Twin Dragons captured, drugged, and set loose on an island for a little game called ""Kill the Twins."" Outnumbered and ou... Read all",1h 30m,Dragon Hunt
3,5.6,--,Chuen-Yee Cha,Hung-Wah LeungKwong-Kim YipYeuk-Kwong Yuen,"When he is framed for being a spy because of his friend's illegal activities, David must escape from police, CIA, and assassins with the help of his cousin.",1h 34m,Middle Man
4,5.2,61%,Pierluigi Ciriaci,Pierluigi CiriaciDardano Sacchetti,"A mercenary is hired to take a professor out to a desolate area where a Russian MIG has crash-landed in order for the professor to check out the plane so they can take it away. However, the Russians don't want anyone but themselves getting their hands on the plane, because as it turns out the plane isn't quite what it's supposed to be.",min--,Soldier of Fortune
5,6.0,--,Cheh Chang,Cheh Chang,The friendship between a thief turned Chinese opera performer and an incorruptible police officer.,1h 55m,Slaughter in Xian
6,5.0,--,Joseph Merhi,Sean DashJoseph Merhi,"George and Tony are two good fellas from the mean streets of New York. All they want is to make it to their 21st birthdays, but in their world of prostitutes, junkies and gangs, one wrong move can be their last!",1h 44m,Emperor of the Bronx
7,5.7,--,Bong Luk,Kam Bo Writing Team,"The 1990 Hong Kong action classic, starring Yukari Oshima, is titled Brave Young Girls in the U.S. It is a very interesting story about two beautiful young women who are completely different. One woman is a skilled martial artist/police officer and the other is a prostitute, but they figure out that it is much better to work together to solve their problems. Otherwise... Read all",1h 31m,Brave Young Girls
8,4.3,0%,Addison Randall,Addison Randall,A right-wing revolutionary group called Strikeforce goes on a kidnapping and murdering spree in order to obtain a lethal top secret weapon. A Vietnam Vet called Jason Shepherd is called in to track the group down.,1h 30m,Payback
9,5.2,--,Kei-Yee Chik,Abe Kwong,Add a plot,1h 30m,Wu ye tian shi
10,5.6,--,David Wu,Kee-To LamTai-Mok LauMan Fai Ng,A Japanese singer believes her father has been kidnapped. She goes to Hong Kong to find him.,1h 32m,Spy Games
11,5.1,--,Abbas Alibhai BurmawallaMastan Alibhai Burmawalla,Ranjit Harma,"Bharat Nagar is a city in modern secular India that is terrorized by a gangster named Bhika, who is protected by the local politician, Gulabchand Jhakotia, his son, Police Inspector Bhushan, and the D.S.P. Anand Saxena. When Inspector Gurdayal Singh accumulates enough evidence to arrest Bhika, he is killed. Bhushan then attempts to molest an activist, Asha, but is sto... Read all",2h 41m,Agneekaal
12,3.9,15%,Bill Milling,Bill Milling,Discontent leads to a daring escape plan in a women's prison where the inmates are all lingerie clad models and the lesbian warden demands unusual favours for early parole.,1h 35m,Caged Fury
13,6.7,60%,Frankie Chan,David TadmanBarry Wong,"Follows the exploits of two car thieves, and the female police officer who is on their trail.",1h 36m,Outlaw Brothers
14,3.2,8%,Fred Olen Ray,Paul Garson,Kol is an evil guy about to be executed on a distant spaceship. He manages to escape on a shuttle and make his way to some woods in America. The commander of the spaceship decides to send out The Alienator to execute Kol at all costs. Kol meets up with some teens and Ward Armstrong and together they all try not to get killed by the pursuing Woman of Death - The Aliena... Read all,1h 33m,Alienator
15,6.3,--,Eric Tsang,Yin Nam,A pleasant trip to the Phillipines is turned into tragedy when the tour bus is kidnapped by a group of rebels that want to exchange the prisoners for the Rebel Leader's brother.,1h 36m,Fatal Vacation
16,5.0,33%,Gary Graver,James RyanRick Marcus,"A rich kid, with a fondness for fast bikes, is blamed when a motorcycle accident puts his best friend in a coma.",1h 34m,Crossing the Line
17,5.4,--,Antonio Gonzalo,Antonio Gonzalo,Add a plot,1h 23m,Las huellas del lince
18,3.4,--,Bruce McFarlane,Terry Asbury,The adventures of three friends running an air charter business in Africa during WWII and their race to prevent a Nazi Baron from escaping to Germany with vital radar equipment.,1h 34m,African Express
19,4.0,20%,Yakov Bentsvi,Ruben GordonEd HuntSteve Schoenberg,"Billy Hamilton, high-school football star, and his girlfriend, Allyson, are kidnapped from Lover's Lane by a pair of armed men who helicopter them to an underground location hidden out in the desert. At this location, ""Queen"" Diana forces Billy to become a gladiator in death-matches which are bet on by jaded millionaires. Meanwhile, the facility's guards use Allyson f... Read all",1h 30m,Legion of Iron
20,5.7,--,Jacob Berger,Jacob Berger,"The American musician Rickie falls in love with the prostitute Sara, who pretends to be a princess. As they escape together, Rickie gets into a dangerous adventure...",1h 35m,Angels
21,5.9,--,José Buil,José Buil,"A sports journalist is assigned to discover the truth behind the mask of ""El Angel Enmascarado"" (The Masked Angel), a very popular and recently deceased wrestler.",1h 35m,La leyenda de una máscara
22,6.3,30%,Stephen Hopkins,Jim ThomasJohn Thomas,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.",1h 48m,Predator 2
23,5.5,18%,Lewis Teague,Chuck PfarrerGary Goldman,A battle-hardened SEAL Team set off on a mission to destroy a shipment of US-built Stinger missiles that have fallen into terrorist hands.,1h 53m,Navy Seals
24,6.6,63%,Peter Hyams,Peter HyamsEarl FeltonMartin Goldsmith,A Los Angeles Deputy District Attorney is sent to protect a woman who accidentally witnessed a Mafia murder.,1h 37m,Narrow Margin
25,7.3,--,Luc Besson,Luc Besson,"Convicted felon Nikita isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.",1h 57m,Nikita
26,5.2,44%,Kevin Tenney,Kevin Tenney,"A doctor (Shepard) gets caught up in a war between two aliens (Edwards, Forster).",1h 40m,Peacemaker
27,5.4,29%,Michael Cimino,Joseph HayesLawrence KonnerMark Rosenthal,"An escaped con, on the run from the law, moves into a married couple's house and takes over their lives.",1h 45m,Desperate Hours
28,7.2,85%,Phil Joanou,Dennis McIntyre,A New York cop is recruited to return to his hometown and infiltrate the mob ran by his best friend's brother.,2h 14m,State of Grace
29,5.4,--,Godfrey Ho,Simon FongCharles Ng,"In a war for gang supremacy, two beautiful female assassins are given the ultimate target - each other.",1h 30m,Lethal Panther
30,5.9,29%,Clint Eastwood,Boaz YakinScott Spiegel,A veteran detective is assigned a rookie partner after his previous partner is killed by a car theft gang. He is determined to apprehend those responsible for his friend's death but his new partner isn't really up to the task.,2h,The Rookie
31,4.7,--,David Green,Step TynerJohn K. SwenssonDale Dye,Elite Apache helicopter pilots are tasked with destroying powerful armed drug cartels operating in South America.,1h 25m,Wings of the Apache
32,5.4,51%,Tanya Rosenberg,Jim MakichukCraig ClydeJames Hennessy,"When an all girl baseball team beats a group of rowdy rednecks from a small town, they soon find themselves the prey in a deadly bounty hunt. Now they are playing for their lives. In HD.",1h 30m,Blood Games
33,3.4,--,Fabrizio De Angelis,Olga Pehar,"Kevin Foster (Antonio Sabato Jr) is a new teen who arrived at a small town. A dance competition takes place on Kevin's first night out. He approaches the most gorgeous girl, Connie (Dorian D Field) inviting her to compete with him in the dance not knowing her already boyfriend Jeff (Andrew J Parker) is close by but Kevin keeps dancing with Connie and together win the ... Read all",1h 30m,Karate Rock (The Kid with Iron Hands)
34,5.8,--,John Mackenzie,Jere CunninghamThomas Lee WrightGeorge Armitage,4 LA cops are fighting the war on drugs. Corrupt superiors manage to break up their team when one of them gets killed. The 3 quit LAPD and continue investigating.,1h 46m,Blue Heat
35,5.8,75%,Kathryn Bigelow,Kathryn BigelowEric Red,A rookie in the police force must engage in a cat-and-mouse game with a pistol-wielding psychopath who becomes obsessed with her.,1h 42m,Blue Steel
36,5.5,83%,Burt Kennedy,Joseph BerryBurt KennedyC.B. Wismar,Jimmy Dean's popular song (released in 1961) is translated into a feature length movie about a young couple who elopes to escape the girl's evil stepfather.,1h 32m,Big Bad John
37,5.9,27%,Dwight H. Little,Michael GraisMark Victor,A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.,1h 33m,Marked for Death
38,6.2,53%,Ivan Reitman,Murray SalemHerschel WeingrodTimothy Harris,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",1h 51m,Kindergarten Cop
39,6.5,55%,Jing Wong,Jing Wong,"The Red Army will stop at nothing to assassinate the Daka Lama during his visit to Singapore on Nation Day. En route, he meets Ling May, a young woman who shares his horoscope; he tells her that they face a day of danger, and she scoffs at him. In the Singapore airport, both are seriously wounded by terrorists. They have a rare blood type, so if the Red Army can keep ... Read all",1h 30m,The Last Blood
40,5.2,38%,Wellson ChinShan Hua,Abe KwongChun-Wai Lau,Cynthia Rothrock helps to protect a Buddhist boy from villains who wish to stop him from becoming the Prince of the Sun.,1h 33m,Prince of the Sun
41,2.8,62%,Paul Kyriazi,Denny GraysonPaul KyriaziSalli McQuaid,"In the future, a cop goes after a gang of slave traders.",1h 27m,Omega Cop
42,5.2,41%,Robert Clouse,Robert ClouseSandra Weintraub,"A police woman, expert and instructor in martial arts, leaves the city to stay with her dad, sheriff in a town with peace and quiet - or so she thinks. She gets plenty opportunities to show her martial arts skills.",1h 26m,China O'Brien
43,6.3,29%,Gregg Champion,John BlumenthalMichael Berry,"When a police detective thinks he is dying and learns that his life insurance pays out more if he dies in the line of duty, he tries to make that happen.",1h 37m,Short Time
44,6.9,55%,Simon Wincer,John Hill,"Sharpshooter Matt Quigley is hired from Wyoming by an Australian rancher paying a very high price. But when Quigley arrives Down Under, all is not as it seems.",1h 59m,Quigley Down Under
45,4.4,--,Teddy Page,Jerry BaileySean P. DonahueJim Gaines,"Kickboxer seeks revenge against rival gang, responsible for the murder of his master and his family.",1h 29m,Blood Hands
46,6.1,--,Jim Wolpaw,Geoff AdamsRich LupoDennis Maloney,"Terrorists, political conspiracy, drugs and bad music. Just another night at the Heartbreak hotel.",1h 21m,Complex World
47,6.4,--,Tomasz Wiszniewski,Tomasz Wiszniewski,"City of Lódz. Poland under Russian occupation, 1905. Wert, a young commander of the ""PPS"" militant unit, secretly escapes to Germany after the suppression of the revolution. A Russian secret police agent, Yegor Potapovich Yegorov, is punished for Werta's escape from degradation to an insignificant office function. He swears vengeance. After several years of searching,... Read all",1h 16m,Kanalia
48,5.0,--,Peng-Tang Teng,Peng-Tang Teng,A Hong Kong cop going to the Mainland to investigate a major gunrunning case.,min--,Hei xing feng yun
49,6.4,--,Teddy Page,Rod DavisTeddy Page,"Angel in the dark is a movie about a woman who becomes a prostitute to try and save enough money to get her daughter and eye operation to cure her from her blindness. She is beaten up by her pimp and that is when Romano,the kick boxer comes across her path after a bad fight. He rescues her and she takes him in and looks after him while he heals. In the process they be... Read all",1h 30m,Angel in the Dark
50,4.5,12%,Ted Post,Mike WerbMann Rubin,"An ex-Marine who was hired to train Iraqi soldiers to fight Iran returns to Iraq as a CIA agent to free his brother, who has been imprisoned there by a renegade general.",1h 28m,The Human Shield
51,3.4,17%,David Huey,David Huey,"Project K.I.C.K was a drug given to cattle to make them grow quicker, if the meat is eaten from these cattle it has horrible side effects. James is a martial artist hired by the DEA to find to a dealer his former Master who is trying to start selling the drug in an American. But little does James know not is what it seems.",1h 29m,Capital Punishment
52,6.7,71%,Lili Fini Zanuck,Kim WozencraftPeter Dexter,"Two small-town Texas cops go undercover to catch a major drug dealer and are sucked into the drug culture, compromising their assignment.",2h,Rush
53,6.2,74%,Russell Mulcahy,Fred DekkerMenno MeyjesSteven E. de Souza,A District Attorney is terrorized by the criminal he put away years ago when he was a cop.,1h 42m,Ricochet
54,5.9,36%,Lewis Teague,Broderick Miller,A male prison escapee heads for his hidden loot electronically attached to a female prisoner.,1h 41m,Wedlock
55,7.0,--,Ngai Choi Lam,Tetsuya SaruwatariMasahiko TakajoNgai Choi Lam,"Riki-Oh, a young man who has superhuman strength, is incarcerated in a private prison, where inmates are treated like slaves. He is forced to use his unstoppable form of martial arts to destroy the corrupt officials and their lackeys.",1h 31m,Story of Ricky
56,7.2,83%,Nicholas Meyer,Gene RoddenberryLeonard NimoyLawrence Konner,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",1h 50m,Star Trek VI: The Undiscovered Country
57,5.1,29%,Leandro Lucchetti,Leandro Lucchetti,"Beautiful young American tourist Janet Cooper goes on vacation to a remote South American country. After being arrested by a corrupt cop and subsequently found guilty of a trumped-up charge involving possession of narcotics, Janet finds herself incarcerated at an isolated castle located deep in the jungle that serves as a hellish women's penitentiary. The brutal staff... Read all",1h 30m,Caged Women
58,4.9,--,Screaming Mad GeorgeSteve Wang,Jon PurdyYoshiki Takaya,"A young man discovers a mechanical device that merges with his own body, turning him into a cyborg superhero. When strange creatures start appearing, trying to take the device back, he begins to uncover a secret plot to genetically engineer terrifying monsters.",1h 28m,Guyver
59,5.2,--,Cirio H. Santiago,Thomas McKelvey CleaverDavid A. Thomas,"Sergeant Thomas Duncan takes his men behind enemy lines to recover a secret government fighter copter and its pilot, a secret weapon all his own. But once stationed in the dense jungle brush of Vietnam, their radio goes out all hope of contacting their home base is out, and it is up to Duncan and his men to get to the hook up point by the agreed time. A traitor in the... Read all",1h 24m,Field of Fire
