,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.2,--,Ivan Cardoso,Rubens Francisco Luchetti,"O Anjo (The Angel) is a millionaire playboy who fights the forces of crime, especially his deadly enemy, the arch-villain Escorpião Escarlate (Scarlet Scorpion), who recently has kidnapped the fashion designer Glória Campos, who is in love with our hero.",1h 30m,The Scarlet Scorpion
1,4.3,0%,Addison Randall,Addison Randall,A right-wing revolutionary group called Strikeforce goes on a kidnapping and murdering spree in order to obtain a lethal top secret weapon. A Vietnam Vet called Jason Shepherd is called in to track the group down.,1h 30m,Payback
2,7.5,--,Juliusz Machulski,Aleksandr BorodyanskiyJuliusz Machulski,"During the Prohibition, Chicago mob send a hitman after a traitor. The only problem is that his traces lead to Odessa, and no one hitman can overcome the hardcore Soviet bureaucracy.",1h 48m,Deja vu
3,5.6,--,David Wu,Kee-To LamTai-Mok LauMan Fai Ng,A Japanese singer believes her father has been kidnapped. She goes to Hong Kong to find him.,1h 32m,Spy Games
4,3.9,--,Álvaro Sáenz de Heredia,Álvaro Sáenz de HerediaAlejandro Pose,"The Count of Capranegra, accompanied by his chamberlain, travels to Soborlskaia to claim the castle of his great-great-grandfather who died in strange circumstances. But to get the fortune he must first pass a difficult test.",1h 28m,Aquí huele a muerto... (¡pues yo no he sido!)
5,4.7,17%,Paul Ziller,Joyce Snyder,"A college fraternity in the middle of hazing their new pledges during ""hell week"" incur the wrath of a long deceased pledge who died during a hazing gone wrong 20 years ago.",1h 26m,Pledge Night
6,6.2,--,Katrin Ottarsdóttir,Katrin Ottarsdóttir,Presents a day in the life of a few inhabitants of Tórshavn in the Faroe Islands: A father and his daughter are having breakfast when the fire-brigade drive by. A woman and her child are looking at the fire and meet a married couple. The couple say hello to a man who is going out with his boat... and so on.,1h 20m,Atlantic Rhapsody - 52 myndir úr Tórshavn
7,3.7,--,Howard Ziehm,Howard ZiehmDoug Frisby,Flesh Gordon is kidnapped by a group of space cheerleaders hoping to use him to save their planet.,1h 42m,Flesh Gordon Meets the Cosmic Cheerleaders
8,7.2,--,Sergey Solovyov,Sergey Solovyov,"In fact, people who then appear around Mitya are all unique, eccentric and the space of the apartment house begins to have an unrealistic character as a miniature of unstable society in the end of Soviet Union.",2h 11m,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi"
9,5.7,--,Feliks Falk,Feliks Falk,Piotr gets back to Poland after two years in America. He tries to invest the money he earned on the local market but that seems quite a challenge.,1h 45m,"Kapital, czyli jak zrobic pieniadze w Polsce"
