,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,"6,4",--,Egon Günther,Egon GüntherHelga Schütz,"Añade un argumento en tu idioma
Adam receives a flashlight with special powers: every liar it shines on flies into the air. Production was canceled in 1965 due to the film's political content. Only in 1989-1990 could the director reconstruct the film, replacing missing sounds and images with script inserts.",1h 18min,"Wenn du groß bist, lieber Adam"
1,"6,2",--,Michael Rubbo,Michael Rubbo,Jo conoce a un misterioso marchante de arte que compra algunos de sus dibujos y le encarga que haga más. Pide ayuda a unos amigos y parte hacia Ámsterdam para buscar al hombre misterioso.,1h 40min,Vincent y yo
2,"5,5",--,Fernando Durán Rojas,Jorge Barragán,"Añade un argumento en tu idioma
A hobo (Julio Alemán) is given the power to know what will happen in the future, but only for 24 hours.",1h 38min,La hora 24
3,"4,8",--,Wong Chun,Wong ChunHung-Wah LeungKai-Chi Liu,"Añade un argumento en tu idioma
Two statues from 500 years ago are brought to Hong Kong for an exhibition. The statues are in fact the bodies of two policemen who were given the ability to live forever by a Taoist Priest.",1h 29min,Chu tu qi bing
4,"6,1",--,Clifton Ko,Man Fai Ng,"Añade un argumento en tu idioma
A group of college kids discovers the remains of an evil warlord from an old cave and brings it to their dormitory, which ultimately awakens the warlord's ghost.",1h 28min,Hoi sum gwai gau hoi sum gwai
5,"6,8",--,Wei Tung,Kan-Cheung TsangChi-Leung Shum,"Añade un argumento en tu idioma
A former cop rejoins the police department to investigate a drug ring that employs ghosts and vampires.",1h 27min,Qu mo jing cha
6,"6,9",78%,Otakar Votocek,Herman KochOtakar Votocek,"Añade un argumento en tu idioma
A famous movie actor (Peter O'Toole) claims that he has written a book. As result, a real author, not a very well known writer, vengenfully kills him but then dies as a result of an accident. Next, they both find themselves in after-life, where souls of all famous people are gathered.",1h 49min,Wings of Fame
7,"4,6",--,Andrew Prowse,Frederick BaileyDavid PhillipsJohn Trayne,"Añade un argumento en tu idioma
Two U.S. Marine investigators looking into a series of grisly murders in Manila discover that the crimes are tied to an amulet with a 400-year-old curse on it that has unleashed supernatural forces which can possess people.",1h 28min,Enemigo sobrenatural
8,"2,7",--,Krzysztof Magowski,Krzysztof MagowskiMarcin Wolski,Añade un argumento en tu idioma,1h 37min,Swinka
9,"6,3",--,Jordi Amorós,Carles AndreuBenet Rossell,"Añade un argumento en tu idioma
Lauria goes back in time to meet the Almogavars on a journey through Catalanism mythology and symbolism.",1h 15min,Despertaferro
10,"5,6",--,Sze Yu Lau,Jing Wong,"Añade un argumento en tu idioma
An evil photograph with four possessed souls winds up in the possession of a pervert, whose home they take over by putting him into the picture. A nosy cop and his girlfriend notice the strange ongoings and one of the ghost's falls in love with the cop. But once the ghosts leave their home, all hell breaks loose.",1h 31min,Hua gui zhu zheng ge li
11,"5,7",--,Staffan Götestam,Staffan GötestamAstrid Lindgren,"Añade un argumento en tu idioma
7-year-old Bertil's parents are at work and Bertil are home alone and bored. He is the only child in the family since his sister Martha died of an illness. But everything changes when he meets little Nils Karlsson Pyssling and they become friends. Nisse who lives in the basement in a room he rents from the rat Tjofsan,wich is cruel.",1h 15min,Nils Karlsson Pyssling
12,"2,7",--,Joe D'Amato,Joe D'Amato,"Añade un argumento en tu idioma
Once upon a time a god gave a mighty sword to the king of Aquiles to bring justice to his people. Now he wants it back - but the king rather gives his life than the sword.",1h 34min,Ator y la espada de Graal
13,"5,9",--,Sze Yu Lau,Jing-Kong Tsui,"Añade un argumento en tu idioma
An officer killed on the job returns to Earth as a ghost to solve his own murder and seek justice with the help of a rookie cop and some funky magic.",1h 30min,Si hing chong gwai
14,"4,2",36%,Michael Paul Girard,Michael Paul Girard,"School nerd Bill just wants to save the world and to score a date with cheerleader babe Chrissie Schackler. Both become real possibilities when he finds an alcoholic Leprechaun in a beer bottle he was about to recycle. Wacky hijinks ensue as the leprechaun, Lepkey, messes up a few of the wishes. Can Bill fight off school jock Tony Chanuka and marry Chrissie so they ca... Leer todo",1h 25min,Getting Lucky
15,"4,4",6%,Sidney Poitier,Brent MaddockS.S. WilsonPhil Alden Robinson,Un padre viudo trata de mantener a sus hijos después de convertirse en fantasma en un accidente.,1h 23min,Ghost dad
16,"7,2",--,Wolfgang Urchs,Gerdt von BassewitzWolfgang UrchsArne Elsholtz,"Añade un argumento en tu idioma
After Sumsemann the beetle loses one of his arms to a troll, he invites brother and sister Peterchen and Annaliese to join him on a journey to the moon in a quest to retrieve his lost arm.",1h 20min,Peterchens Mondfahrt
17,"7,1",--,Jerry Zucker,Bruce Joel Rubin,"Después de que un joven sea asesinado, su espíritu se queda para advertir a su amante del peligro inminente, con la ayuda de una médium.",2h 7min,Ghost (Más allá del amor)
18,"5,1",--,George Miller,Karin HowardMichael Ende,Un joven con un padre distante se adentra en un mundo de magia y fantasía a través de un portal que reside en un libro antiguo.,1h 30min,La historia interminable 2: El siguiente capítulo
19,"6,5",--,Clive Barker,Clive Barker,"Un joven con problemas es conducido a un lugar mítico llamado Midian, donde varios monstruos amigables se esconden de la humanidad. Mientras tanto, un sádico asesino en serie busca a su próxima víctima.",1h 42min,Razas de noche
20,"6,8",--,Bob Hathcock,Alan BurnettCarl BarksTed Osborne,El Tío Gilito lleva a sus sobrinos a Egipto para encontrar una pirámide en la que hay una lámpara mágica.,1h 14min,Patoaventuras la película: El tesoro de la lámpara perdida
21,"6,8",--,Hendel ButoyMike Gabriel,Jim CoxKarey KirkpatrickByron Simpson,"Unos agentes, la señorita Bianca y Bernard, corren a Australia para salvar a un niño pequeño y a un águila real de un cazador furtivo.",1h 17min,Los rescatadores en Cangurolandia
22,"4,8",--,Bob Logan,Bob Logan,"Parody of El exorcista (1973), with Linda Blair once again possessed by Satan, and Leslie Nielsen as the exorcist.",1h 20min,Reposeída
23,"7,9",--,Tim Burton,Tim BurtonCaroline Thompson,"Un hombre artificial, construido de forma incompleta y con unas tijeras por manos, lleva una vida solitaria. Un día, una señora de los suburbios le conoce y le introduce en su mundo.",1h 45min,Eduardo Manostijeras
24,"6,2",--,Stanislav Párnicky,Jacob GrimmWilhelm GrimmJana Kákosová,"Añade un argumento en tu idioma
When the king's daughter is born, all the subjects are invited to meet her except an evil fairy who will impose a spell on her.",1h 34min,Sípková Ruzenka
25,"7,9",71%,Gulzar,Gulzar,"Añade un argumento en tu idioma
Samir Niyogi lives in India and is assigned by the Government to travel to Rajasthan, evaluate a princely castle that once belonged to Raja Param Singh, take stock of all items, the condition of the building, and report back to the Government. Enroute to his destination by train, he permits a woman to enter his compartment, goes to sleep, and when he awakens finds her... Leer todo",2h 51min,Lekin...
26,"4,8",--,Tibor Takács,Michael Nankin,"Four teens summon forth a diminuitive, demonic minion from The Other Side to do their bidding and grant their wishes, but of course, they must all ultimately pay the price...",1h 33min,La puerta 2
27,"5,4",--,Michael Lehmann,Michael LehmannRedbeard Simmons,"Modelling themselves after an idyllic cookie-cutter suburban 1950s family, a colony of insects move from South America into the United States with the intent of getting access to the nation's nuclear resources.",1h 30min,Estos terrícolas están locos
28,"6,2",--,John Harrison,Michael McDowellArthur Conan DoyleStephen King,Un niño cuenta tres historias de horror para distraer a una bruja que planea comérselo.,1h 33min,El gato infernal
29,"5,0",--,Taylor Wong,Kiu-Ying Chan,"Añade un argumento en tu idioma
Shing (Tony Leung Chiu Wai) is a artist draws his dream girl Ching Ching (Joey Wang) in a comic strip, When he gets into an accident she is thrown into the real world.",1h 26min,Mo hua qing
30,"5,7",--,Michael HerzLloyd Kaufman,Lloyd KaufmanAndrew OsborneJeffrey W. Sass,Un astuto oficial de policía se transforma en el héroe sobrehumano más inusual del mundo.,1h 45min,Sargento Kabukiman
31,"6,2",--,Tassos Boulmetis,Tassos Boulmetis,"Añade un argumento en tu idioma
In a dystopian society after an unexpected epidemic citizens can't have dreams. Only few people are privillaged to dream. They operate small underground companies where they can have other people dreams.",1h 40min,Viotehnia oneiron
32,"7,5",--,Pina Bausch,Pina Bausch,"Añade un argumento en tu idioma
Intersecting scenes thru the seasons in the Wuppertal area in which performers appear in cafes, flower shops and pools and traverse streets, fields and forests, accompanied by folk songs and popular music.",1h 46min,Die Klage der Kaiserin
33,"4,8",--,Michel Wachniuc,Robert RufoGeorge SlobonzianDouglas Taylor,"Añade un argumento en tu idioma
Set within a mental ward, doctors try to cope with people suffering from a variety of ailments. Among the afflicted are a young man who believes his parents are really from outer space, a murderous television producer, and a prominent fashion photographer obsessed with a motivational record.",1h 23min,You're Driving Me Crazy
34,"7,6",--,Zbigniew Rybczynski,Zbigniew Rybczynski,Añade un argumento en tu idioma,52min,The Orchestra
35,"5,6",--,Mel Chionglo,Ricky LeeMars RaveloElpidio Torres,"Añade un argumento en tu idioma
A MERMAID REALIZED HER DREAM TO BE FULLY HUMAN AND LIVE WITH THE MAN SHE LOVES.",1h 41min,Dyesebel
36,"5,7",--,Thomas Yip,Tung Ho,"Añade un argumento en tu idioma
Lam Ching Ying, along with his two assistants, attempt to dispel an evil Japanese spirit who haunts the woods. CiCi, a woman who is kidnapped by the evil spirit, is forced to marry, turning evil. The three good guys try to vanquish the evil spirits and end up in modern day Hong Kong.",1h 30min,Tian di xuan men
37,"5,0",--,Chuo-Chi Leung,Kong Mou,"Añade un argumento en tu idioma
1391: The good Chiang Su-Su manages to defeat the evil spirit Elf Fox, but has her soul transferred to a jasper incense holder and remains dormant for hundreds of years. In 1991 the Elf Fox returns to lethal life to wreak havoc on modern Hong Kong. The Elf Fox needs to absorb the souls of 108 men in order to obtain her full power. It's up to Su-Su's sweet descendant Y... Leer todo",1h 31min,Meng gui hu li jing
38,"3,7",23%,Howard R. Cohen,Howard R. CohenBeverly Gray,"Deathstalker must defend his remaining comrades, his life, and his newfound love in the battle against an evil army of stone warriors and the wicked queen who created them.",1h 31min,Deathstalker IV: Match of Titans
39,"6,7",--,Günter Meyer,Helmut BergmannGerd GerickeAnne Goßens,"Añade un argumento en tu idioma
Eight year old Paul and his mother just moved to a skyscraper. After an embarrassing encounter with Anna, Paul meets her in the elevator. Anna makes fun of him and they start to quarrel. They can't arrange about going up or down. The elevator suddenly drops and carries them deep down into the realms of a wicked witch. The witch is out for their youth, since her own ti... Leer todo",1h 15min,Olle Hexe
40,"5,2",--,Wellson ChinShan Hua,Abe KwongChun-Wai Lau,"Añade un argumento en tu idioma
Cynthia Rothrock helps to protect a Buddhist boy from villains who wish to stop him from becoming the Prince of the Sun.",1h 33min,El príncipe del sol
41,"6,8",--,Paul Schibli,E.T.A. HoffmannPatricia Watson,An adaption of the classic tale of a girl's dreams turned reality when her new toy turns out to be a young man placed under a curse.,1h 15min,El príncipe Cascanueces
