,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,"4,6",16%,Lucio Fulci,Piero RegnoliLucio FulciAntonio Tentori,"Un equipo arqueológico desata accidentalmente en Sicilia los fantasmas vengativos de cinco monjas demoníacas que fueron asesinadas 500 años antes, y los fantasmas se proponen ahora matar al grupo y a la gente del pueblo por igual.",1h 28min,Demonia
1,"6,0",--,Alain Robak,Serge CukierAlain Robak,"Cuando una extraña criatura se mete en el útero de una mujer, se convierte en una asesina para alimentar el pequeño terror que crece dentro de ella.",1h 28min,Baby Blood
2,"3,9",--,Álvaro Sáenz de Heredia,Álvaro Sáenz de HerediaAlejandro Pose,"El Conde de Capranegra, acompañado de su chambelán, viaja a Soborlskaia para reclamar el castillo de su tatarabuelo, muerto en extrañas circunstancias. Pero para conseguir la fortuna primero debe superar una difícil prueba.",1h 28min,Aquí huele a muerto... (¡pues yo no he sido!)
3,"4,7",--,Paul Ziller,Joyce Snyder,"Young Sid es atacado con ácido como novatada. Años después, volverá a la universidad para sembrar el terror entre su compañeros de la fraternidad.",1h 26min,Noche de novatos
4,"4,6",--,Alec Mills,Robert Brennan,"Un asesino en serie anda suelto en un colegio femenino, donde estrangula a las niñas con un trozo de alambre de espino.",1h 40min,Pesadilla en la medianoche
5,"4,0",20%,Yakov Bentsvi,Ruben GordonEd HuntSteve Schoenberg,"Billy Hamilton, high-school football star, and his girlfriend, Allyson, are kidnapped from Lover's Lane by a pair of armed men who helicopter them to an underground location hidden out in the desert. At this location, ""Queen"" Diana forces Billy to become a gladiator in death-matches which are bet on by jaded millionaires. Meanwhile, the facility's guards use Allyson f... Leer todo",1h 30min,Legion of Iron
6,"6,1",--,Clifton Ko,Man Fai Ng,"Añade un argumento en tu idioma
A group of college kids discovers the remains of an evil warlord from an old cave and brings it to their dormitory, which ultimately awakens the warlord's ghost.",1h 28min,Hoi sum gwai gau hoi sum gwai
7,"4,6",--,Ron OliverPeter R. Simpson,Ron Oliver,"The malevolent spirit of Mary Lou Maloney returns to Hamilton High, where she manipulates a naive male student into helping her wreak havoc on the school.",1h 37min,Escuela de terror
8,"6,2",--,Brian Yuzna,Zeph E. DanielRick FryH.P. Lovecraft,Los doctores Herbert West y Dan Cain descubren el secreto para crear vida humana y proceden a crear a la mujer perfecta a partir de tejido muerto.,1h 36min,La novia de Re-Animator
9,"5,9",--,John Lafia,Don Mancini,La madre de Andy es enviada al hospital psiquiátrico local y el joven es enviado a una casa de acogida donde el muñeco Chucky intenta robarle el alma.,1h 24min,Muñeco diabólico 2
10,"6,8",--,Wei Tung,Kan-Cheung TsangChi-Leung Shum,"Añade un argumento en tu idioma
A former cop rejoins the police department to investigate a drug ring that employs ghosts and vampires.",1h 27min,Qu mo jing cha
11,"5,5",--,Dirk Campbell,Mycal MillerJohn Wolskel,"When a motorbike gang kills an occultist, the evil spirit he was summoning inhabits a damaged bike. The bike is then bought and restored, but reveals its true nature when it tries to exact vengance on the gang, and anyone else who gets in its way.",1h 41min,Yo compré una moto vampiro
12,"4,4",--,Somtow Sucharitkul,Somtow Sucharitkul,"Un variopinto grupo de personas realiza un viaje arqueológico a México para visitar unas ruinas mayas, pero se encuentran con un grupo de mexicanos que intentan revivir un antiguo ritual mortal.",1h 32min,La maldición del templo Azteca
13,"3,2",--,Raffaele DonatoJoe D'Amato,George Nelson Ott,Varios jóvenes tienen que detener un antiguo mal nativo americano en forma de tiburón asesino que está atacando a una pequeña comunidad playera.,1h 34min,Tiburón: Duelo a muerte
14,"4,0",16%,George Eastman,George Eastman,An anti-aging serum is being developed by a scientist. When he loses his funding he uses it on himself with dire results.,1h 36min,Metamorphosis
