,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,"5,9",--,Lindsay Shonteff,Len Deighton,"Un espía británico es incriminado, por lo que debe eludir al KGB, la CIA y la Inteligencia británica para llegar al corazón de la conspiración en el Ártico.",1h 43min,Spy Story
1,"4,3",--,Jeff Kahn,Jeff Kahn,"Añade un argumento en tu idioma
A European woman living in Greenwich Village sees her life starting to come apart. She's broke, seems to be hallucinating and seeing people she dreams about appear in her real life, and on top of that finds herself accused of a pair of murders.",1h 33min,Alucinación
2,"4,6",16%,Lucio Fulci,Piero RegnoliLucio FulciAntonio Tentori,"Un equipo arqueológico desata accidentalmente en Sicilia los fantasmas vengativos de cinco monjas demoníacas que fueron asesinadas 500 años antes, y los fantasmas se proponen ahora matar al grupo y a la gente del pueblo por igual.",1h 28min,Demonia
3,"4,4",--,Graeme Campbell,Graeme CampbellDean ParisotMichael Taav,"Añade un argumento en tu idioma
The alleys of downtown Manhattan become a modern killing field when corpses begin turning up, disfigured and gruesomely posed to appear as pieces of art. In the frightening climate of the ""Art Killer"", Peter Sherwood, a struggling musician, is hired to compose for a patron of the arts, and thinks his dreams are coming true. But as the body count continues to rise, the... Leer todo",1h 23min,Still Life
4,"4,6",--,Nico Mastorakis,Nico MastorakisFred Perry,"Scott is a fashion photographer concerned about the sudden appearance of nightmares in his nightly dreams. In these, he seems to be involved in the murder of a beautiful young woman. When he actually meets this dreamwoman in reality, he begins to suspect that something strange must be responsible. As he attempts to solve the enigma of his troubling dreams, he is falli... Leer todo",1h 52min,En el frío de la noche
5,"5,1",--,Anthony J. Christopher,Anthony J. Christopher,"Añade un argumento en tu idioma
Detective double investigates case of beautiful woman murdered along with lover.",1h 31min,Triángulo de platino
6,"5,2",--,Lorenzo Onorati,Lorenzo Onorati,"A turbid story about passion and the murder of an old farmer, who was after the beautiful Camilla. A young policeman, who investigates the mysterious death of the farmer, also falls on her. There is no more deadly murder weapon than the beautiful body of a woman who is out for revenge. She agrees to marry the rich landowner who caused the ruin of her family. Far from ... Leer todo",1h 40min,Abatjour 2
7,"5,9",--,Walter Hill,John FasanoRoger SpottiswoodeJeb Stuart,"Jack Cates vuelve a contar con la ayuda del exconvicto Reggie Hammond, esta vez para acabar con El Témpano, un despiadado capo de la droga que opera en la zona de la bahía de San Francisco.",1h 35min,48 horas más
8,"6,4",--,Bruno Gamulin,Bruno GamulinAntun Gustav Matos,"Añade un argumento en tu idioma
Zegreb, Yugoslavia in 1890. A group of high-school students run away on an adventure that ends in scandal. The ringleader, Gusta, is expelled from school and sent to stay with his uncle in rural Turopolje. Here, a totally new world opens up to him, where the internal tragedies of the people are played out against the castle of Brezovica and a small town of wooden-fram... Leer todo",1h 45min,Ljeto za sjecanje
9,"4,6",--,Andrew Prowse,Frederick BaileyDavid PhillipsJohn Trayne,"Añade un argumento en tu idioma
Two U.S. Marine investigators looking into a series of grisly murders in Manila discover that the crimes are tied to an amulet with a 400-year-old curse on it that has unleashed supernatural forces which can possess people.",1h 28min,Enemigo sobrenatural
10,"3,4",--,Greydon Clark,John PlattRoy Langsdon,Una niña asesinada por un maniaco reaparece como fantasma. La madre de la víctima no puede controlar las visiones de su desdichada hija.,1h 34min,Visión invisible
11,"6,7",--,András Monory Mész,Géza BereményiAndrás Monory Mész,"Añade un argumento en tu idioma
In a deserted industrial area on the edge of town, somewhere in Eastern Europe, there is a bathtub standing in the middle of an empty workshop. Eckermann, the meteorologist is having a bath in it. He spends most of his time daydreaming which earned him the nickname Little Cloud with his friends. He's got two friends: Berlioz, the restless hedonist and Vero, the strong... Leer todo",1h 38min,Meteo
12,"6,5",--,Christopher Rawlence,Christopher Rawlence,,1h 15min,The Missing Reel
13,"4,1",--,Larry Brand,Larry BrandRebecca Reynolds,"Añade un argumento en tu idioma
Morrison (from Larry Brand's The Drifter) makes his return. In this film he must figure out who's stalking the star of a soap opera, and do everything to protect her once he does.",1h 20min,Overexposed
14,"4,9",38%,Claude Chabrol,Sollace MitchellThomas BauermeisterClaude Chabrol,"Investigando una serie de suicidios, un detective de la policía revela un siniestro complot.",1h 56min,Dr. M
15,"3,8",--,Marek Piestrak,Wojciech JedrkiewiczWojciech NizynskiJerzy Siewierski,"Añade un argumento en tu idioma
Krakow, second half of the 19th century. The young artist Kamil is getting ready to marry Krystyna. They arrive at the palace of Stefani Ziembalska, Kamil's cousin. The she-wolf Julia once haunted this palace before she was rendered harmless. During the night, Krystyna is attacked by something that looks like a werewolf.",1h 30min,Powrót wilczycy
16,"3,4",--,Vince Martin,Denis WhitburnPhillip Avalon,"Añade un argumento en tu idioma
A gem with magic powers falls into the wrong hands. A man known as ""The Protector"" is charged with tracking down the criminals who stole it and getting it back.",1h 24min,Sher Mountain Killings Mystery
