,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,"6,4",--,Jürgen Böttcher,Jürgen BöttcherKlaus Poche,"Li y Al, que llevan poco tiempo casados, quieren divorciarse. Se sienten atrapados en su matrimonio y en su apartamento de una sola habitación. Anhelan una vida poco convencional y con sentido, pero la búsqueda de éste les confunde.",1h 40min,Jahrgang 45
1,"5,6",--,Marc Didden,Marc DiddenAnnemarie Vandeputte,"Añade un argumento en tu idioma
Hilde earns just enough to support herself and her son, but when his father returns the troubles begin.",1h 30min,Sailors Don't Cry
2,"7,2",--,Sergey Solovyov,Sergey Solovyov,"Añade un argumento en tu idioma
In fact, people who then appear around Mitya are all unique, eccentric and the space of the apartment house begins to have an unrealistic character as a miniature of unstable society in the end of Soviet Union.",2h 11min,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi"
3,"5,9",--,Anthony Spinelli,Mitch Spinelli,,1h 21min,Adultery
4,"6,1",--,Johnnie To,Dik Hoi,"Añade un argumento en tu idioma
A remake of the 1988 American comedy film, Coming to America.",1h 30min,Gat seng gung ziu
5,"5,2",--,Lorenzo Onorati,Lorenzo Onorati,"A turbid story about passion and the murder of an old farmer, who was after the beautiful Camilla. A young policeman, who investigates the mysterious death of the farmer, also falls on her. There is no more deadly murder weapon than the beautiful body of a woman who is out for revenge. She agrees to marry the rich landowner who caused the ruin of her family. Far from ... Leer todo",1h 40min,Abatjour 2
6,"5,3",--,Dennis Hopper,Rachel Kronstadt MannAnn Louise Bardach,Una testigo de un asesinato mafioso huye de una ciudad a otra para salvar su vida.,1h 56min,Camino de retorno
7,"5,2",--,Aleksei Lebedev,Kirill Laskari,Añade un argumento en tu idioma,1h 34min,Fuflo
8,"5,3",--,Leonid Gaidai,Leonid GaidaiArkadiy IninYuriy Volovich,"Añade un argumento en tu idioma
The first private enterprises are started in the Soviet Union in the late 80s. A gang of bad guys, owners of a private restroom, kidnap a good guy - owner of a toy store. Private eye Dmitri's first job is to try and free the store owner.",1h 34min,"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'"
9,"4,5",--,Joy Fleury,Pierre GrilletJoy Fleury,"Añade un argumento en tu idioma
Thomas and Stéphane are happy as lovers but feel that they need to adopt a child to make their lives more complete.",1h 23min,La fête des pères
10,"5,9",--,Philippe Faucon,Philippe Faucon,"Añade un argumento en tu idioma
In a suburb of Paris, a group of teenagers enjoys the last days of summer vacation. They meet in cafes, restaurants or disco, talking about first love, experiences, disappointments and jealousy. Sandrine tries to figure out if she should keep her boyfriend Didier or try with silent Joel, whom she's just met. Riri, Alex and Paulo desperately try to get laid.",1h 20min,L'amour
11,"8,2",--,Adoor Gopalakrishnan,Vaikom Muhammad BasheerAdoor Gopalakrishnan,"Añade un argumento en tu idioma
Its a story of Basheer, an author who experiences his prison life. In it he finds friendship, loneliness, fear and finally love, but that remains questionable.",2h,Mathilukal
12,"3,7",--,Marc Huestis,Scott CatamasEmerald Starr,Añade un argumento en tu idioma,1h 25min,Men in Love
13,"4,1",--,Joe D'Amato,Daniele Stroppa,"Añade un argumento en tu idioma
An unscrupulous female stockbroker who uses her feminine wiles to get valuable information lands in hot water when she has an affair with a father and his son.",1h 40min,La señora de Wall Street
14,"7,2",--,Louis Malle,Louis MalleJean-Claude Carrière,Durante los acontecimientos de Mayo del 68 en Francia diferentes formas de ver el mundo enfrentan a los miembros de una familia en su casa de campo.,1h 47min,Milou en mayo
15,"5,9",--,Larry Cohen,Larry Cohen,"A comic-book artist meets a woman on the NYC streets, but after a quick flirtation, she suddenly collapses and is picked up by an old ambulance. He checks all the hospitals in the area, but the woman has disappeared.",1h 36min,La ambulancia
16,"6,4",--,Mariusz Trelinski,Wojciech NowakMariusz TrelinskiStanislaw Ignacy Witkiewicz,"Añade un argumento en tu idioma
Decadence, homosexuality, excess wealth, infidelity, alcoholism and drugs all played a major role in the decline of aristocracy.",1h 38min,Pozegnanie jesieni
17,"3,6",--,Czeslaw Petelski,Ewa PetelskaCzeslaw PetelskiJerzy Putrament,"Añade un argumento en tu idioma
Early 1939. Hanna goes to a ball accompanied by Lieutenant Biesiekierski and engineer Leszek Oleszkiewicz. August 1939: a requisition of horses takes place in Powilanice.",1h 52min,Gorzka milosc
18,"6,3",75%,Guy Maddin,John B. HarvieGuy MaddinGeorge Toles,"Añade un argumento en tu idioma
An amnesiac soldier, seeking his lost love, arrives in Archangel in northern Russia to help the townsfolk in their fight against the Bolsheviks, all quite unaware that the Great War ended three months ago.",1h 30min,Archangel
19,"5,4",--,Antonio Mercero,Antonio MerceroJoaquín Oristrell,"Añade un argumento en tu idioma
The ghost of Don Juan Tenorio, the legendary rogue and lover from Sevilla, comes back to town once again on present days searching for the absolution. The spirit, unintentionally takes the place of Juan Marquina, an actor who looks exactly like him.",1h 40min,"Don Juan, mi querido fantasma"
20,"5,5",--,Robert Kaylor,Annie KorzenJoel BlockSteven Ader,"Un joven llamado Steve se transforma en una mujer para acercarse a la chica de la que se ha enamorado, Shelly.",1h 30min,Loco por Shelly
21,"7,1",--,Éric Rohmer,Éric Rohmer,"Las conversaciones simples engendran interacciones humanas complicadas. Sigue la historia de Jeanne, una abierta y tranquila profesora de filosofía en un liceo.",1h 48min,Cuento de primavera
22,"7,1",--,Francisco J. Lombardi,Augusto CabadaGerardo HerreroFrancisco J. Lombardi,"Añade un argumento en tu idioma
3 entwined stories set in Lima in the conflict marked 8Os: An elderly couple loses their child. A broadcaster shelters a depressed woman. A blind woman exploits her poor grandsons.",2h 1min,Caídos del cielo
23,"5,9",92%,Leonard Schrader,Leonard Schrader,"Añade un argumento en tu idioma
When a young European woman assumes a false identity in 1920s Argentina, she gets more than she bargained for.",1h 30min,Naked Tango
24,"5,7",--,Malcolm Mowbray,Sarah Bird,"El dibujante Gus ha sobrevivido al tratamiento contra el cáncer y ahora su hermana, escritora de novelas románticas, intenta encontrarle una mujer y guiarle. ¿Tendrán éxito?",1h 43min,No le digas que soy yo
