,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,"5,9",--,Lindsay Shonteff,Len Deighton,"Un espía británico es incriminado, por lo que debe eludir al KGB, la CIA y la Inteligencia británica para llegar al corazón de la conspiración en el Ártico.",1h 43min,Spy Story
1,"5,2",61%,Pierluigi Ciriaci,Pierluigi CiriaciDardano Sacchetti,"Añade un argumento en tu idioma
A mercenary is hired to take a professor out to a desolate area where a Russian MIG has crash-landed in order for the professor to check out the plane so they can take it away. However, the Russians don't want anyone but themselves getting their hands on the plane, because as it turns out the plane isn't quite what it's supposed to be.",--,Soldier of Fortune
2,"4,3",--,Tom Clegg,Iain RoyChris Kelly,"Añade un argumento en tu idioma
A veteran reporter is investigating the disappearance of a photo-journalist who was covering a civil war in Africa. The only clue is a roll of film he left behind. The reporter soon realizes he may have bitten more than he can chew.",1h 48min,Any Man's Death
3,"6,1",--,Yeung-Wah Kam,Chi-Ming Pang,"Añade un argumento en tu idioma
A Hong Kong police detective investigating weapons smuggling through the airport runs into a corrupt customs officer. Things escalate to a ruthless munitions smuggler kidnapping two security officers' daughter.",1h 29min,Chi se da feng bao
4,"4,3",0%,Addison Randall,Addison Randall,"Añade un argumento en tu idioma
A right-wing revolutionary group called Strikeforce goes on a kidnapping and murdering spree in order to obtain a lethal top secret weapon. A Vietnam Vet called Jason Shepherd is called in to track the group down.",1h 30min,Payback
5,"4,4",--,Graeme Campbell,Graeme CampbellDean ParisotMichael Taav,"Añade un argumento en tu idioma
The alleys of downtown Manhattan become a modern killing field when corpses begin turning up, disfigured and gruesomely posed to appear as pieces of art. In the frightening climate of the ""Art Killer"", Peter Sherwood, a struggling musician, is hired to compose for a patron of the arts, and thinks his dreams are coming true. But as the body count continues to rise, the... Leer todo",1h 23min,Still Life
6,"6,7",--,Frankie Chan,David TadmanBarry Wong,"Añade un argumento en tu idioma
Follows the exploits of two car thieves, and the female police officer who is on their trail.",1h 37min,Jui gaai chak paak dong
7,"4,6",--,Alec Mills,Robert Brennan,"Un asesino en serie anda suelto en un colegio femenino, donde estrangula a las niñas con un trozo de alambre de espino.",1h 40min,Pesadilla en la medianoche
8,"6,3",--,Eric Tsang,Yin Nam,"Añade un argumento en tu idioma
A pleasant trip to the Phillipines is turned into tragedy when the tour bus is kidnapped by a group of rebels that want to exchange the prisoners for the Rebel Leader's brother.",1h 36min,On lok jin cheung
9,"4,6",--,Nico Mastorakis,Nico MastorakisFred Perry,"Scott is a fashion photographer concerned about the sudden appearance of nightmares in his nightly dreams. In these, he seems to be involved in the murder of a beautiful young woman. When he actually meets this dreamwoman in reality, he begins to suspect that something strange must be responsible. As he attempts to solve the enigma of his troubling dreams, he is falli... Leer todo",1h 52min,En el frío de la noche
10,"5,1",--,Anthony J. Christopher,Anthony J. Christopher,"Añade un argumento en tu idioma
Detective double investigates case of beautiful woman murdered along with lover.",1h 31min,Triángulo de platino
11,"4,6",--,Ron OliverPeter R. Simpson,Ron Oliver,"The malevolent spirit of Mary Lou Maloney returns to Hamilton High, where she manipulates a naive male student into helping her wreak havoc on the school.",1h 37min,Escuela de terror
12,"5,3",--,Dennis Hopper,Rachel Kronstadt MannAnn Louise Bardach,Una testigo de un asesinato mafioso huye de una ciudad a otra para salvar su vida.,1h 56min,Camino de retorno
13,"3,5",--,James Allen,Anthony BarwickStuart CollinsColin Stewart,"Añade un argumento en tu idioma
Women are killed and raped in a small town near a condemned nuclear power plant. The bodies turn out to be very radioactive. The sheriff and a female reporter start to investigate.",1h 26min,Fuego vivo
14,"4,8",--,Tim Spring,Aubrey K. RattanTerry Asbury,"Añade un argumento en tu idioma
A cop sets up his girlfriend as a target in order to trap a serial killer.",1h 27min,Una razón para matar
15,"5,9",--,Walter Hill,John FasanoRoger SpottiswoodeJeb Stuart,"Jack Cates vuelve a contar con la ayuda del exconvicto Reggie Hammond, esta vez para acabar con El Témpano, un despiadado capo de la droga que opera en la zona de la bahía de San Francisco.",1h 35min,48 horas más
16,"6,2",--,Brian Yuzna,Zeph E. DanielRick FryH.P. Lovecraft,Los doctores Herbert West y Dan Cain descubren el secreto para crear vida humana y proceden a crear a la mujer perfecta a partir de tejido muerto.,1h 36min,La novia de Re-Animator
17,"3,8",--,Josh Spencer,Greg Latter,"Añade un argumento en tu idioma
A bar owner/ex cop winds up in a scheme involving drug smuggling, murder, and seduction.",1h 29min,Muerte cálida
18,"5,9",--,John Lafia,Don Mancini,La madre de Andy es enviada al hospital psiquiátrico local y el joven es enviado a una casa de acogida donde el muñeco Chucky intenta robarle el alma.,1h 24min,Muñeco diabólico 2
19,"6,9",--,Alberto Isaac,Alberto Isaac,Añade un argumento en tu idioma,1h 25min,¡Maten a Chinto!
20,"5,5",--,Lewis Teague,Chuck PfarrerGary Goldman,"Un equipo SEAL emprende una misión para destruir un cargamento de misiles Stinger construidos en Estados Unidos, y que han caído en manos de terroristas.",1h 53min,Navy Seals: Comando especial
21,"6,6",--,Peter Hyams,Peter HyamsEarl FeltonMartin Goldsmith,Un abogado de distrito en Los Ángeles intenta proteger a un mujer que fue testigo accidental de un asesinato cometido por mafiosos.,1h 37min,Testigo accidental
22,"7,3",--,Luc Besson,Luc Besson,La historia de una joven criminal condenada por asesinar a un policía y entrenada para matar a cambio de conmutar su pena supuso uno de los grandes éxitos de Luc Besson. Hollywood realizó un remake protagonizada por Bridget Fonda.,1h 57min,"Nikita, dura de matar"
23,"5,2",--,Kevin Tenney,Kevin Tenney,"Añade un argumento en tu idioma
A doctor (Shepard) gets caught up in a war between two aliens (Edwards, Forster).",1h 40min,El pacificador
24,"6,4",--,John Schlesinger,Daniel Pyne,"Una pareja trabaja duro para renovar y comprar la casa de sus sueños, pero un de sus inquilinos tiene otros planes.",1h 42min,"De repente, un extraño"
25,"6,6",--,André Melançon,Denis BouchardMarcel LeboeufAndré Melançon,"Añade un argumento en tu idioma
On Christmas eve a journalist witnesses a theft in a mall and then tracks one of the thieves to later be taken as his hostage in the radio station he works for.",1h 28min,Rafales
26,"5,4",--,Michael Cimino,Joseph HayesLawrence KonnerMark Rosenthal,Un preso a la fuga se adentra en la casa de una familia a la que controla con amenazas.,1h 45min,37 horas desesperadas
27,"7,2",--,Phil Joanou,Dennis McIntyre,Un policía de Nueva York es reclutado para regresar a su ciudad natal e infiltrarse en una mafia dirigida por el hermano de su mejor amigo.,2h 14min,El clan de los irlandeses
28,"6,0",--,Rockne S. O'Bannon,Rockne S. O'Bannon,"La psíquica Cayce Bridges ayuda a la policía a resolver asesinatos vinculándose mentalmente con el asesino. Entonces descubre a un asesino con el mismo talento, que quiere compartir el miedo de sus víctimas con ella.",1h 30min,Agente oculto
29,"6,3",--,Curtis Hanson,David Koepp,Un joven corre peligro cuando intenta romper las relaciones tóxicas con un misterioso extraño que dice ser su amigo.,1h 39min,Malas influencias
30,"6,6",--,Sidney Lumet,Edwin TorresSidney LumetAlan Smithee,"Mike Brennan, un policía corrupto, cree que se ha librado de un asesinato. Pero durante un interrogatorio rutinario, el honrado ayudante del fiscal encuentra una pista que los pone a ambos en rumbo de colisión.",2h 12min,Distrito 34: Corrupción total
31,"5,9",--,Clint Eastwood,Boaz YakinScott Spiegel,"A un veterano detective se le asigna un novato después de que su anterior compañero fuera asesinado por una banda de ladrones de coches. Está decidido a detener a los responsables, pero su nuevo compañero no está realmente a la altura.",2h,El principiante
32,"6,3",--,Paul Schrader,Ian McEwanHarold Pinter,"Una pareja se encuentra con un hombre veneciano, quien los obliga a sus juegos de manipulación psicológica y sexual.",1h 47min,El placer de los extraños
33,"6,7",--,Philip Ridley,Philip Ridley,"En la década de 1950, un niño que vive con su problemática familia en una zona rural de Estados Unidos fantasea con que una viuda vecina es en realidad un vampiro, responsable de una serie de desapariciones en la zona.",1h 36min,La piel que brilla
34,"6,1",--,Fred Schepisi,John le CarréTom Stoppard,En servicio secreto británico pide la colaboración de un editor escocés en Rusia que tiene contacto con un físico soviético.,2h 3min,La casa Rusia
35,"6,4",85%,George Armitage,Charles WillefordGeorge Armitage,"El primer acto de libertad de un exconvicto es mudarse a Miami, donde vuelve a sus viejas formas delictivas con más fuerza aún.",1h 37min,Miami Blues
36,"5,4",--,Tanya Rosenberg,Jim MakichukCraig ClydeJames Hennessy,"Añade un argumento en tu idioma
When an all girl baseball team beats a group of rowdy rednecks from a small town, they soon find themselves the prey in a deadly bounty hunt. Now they are playing for their lives. In HD.",1h 30min,Juegos sangrientos
37,"5,8",--,Kathryn Bigelow,Kathryn BigelowEric Red,Un novato en la fuerza policial debe participar en un juego del gato y el ratón con un psicópata que empuña una pistola y que se obsesiona con ella.,1h 42min,Acero azul
38,"6,9",--,Abel Ferrara,Nicholas St. John,Un capo de la droga sale de prisión y busca asumir el control total del inframundo criminal para devolver a la comunidad.,1h 43min,El rey de Nueva York
39,"6,9",--,Stephen Frears,Jim ThompsonDonald E. Westlake,"Un estafador de poca monta ha roto las lealtades entre su madre separada y su nueva novia, quienes son estafadores de alto riesgo con sus propios ángulos para jugar.",1h 50min,Los timadores
40,"6,0",--,Henri Charr,John B. Pfeifer,"Añade un argumento en tu idioma
A woman finds out that her biological father, a professional race car driver, was murdered twenty years ago and the murderer or murderers are still on the loose.",1h 23min,Encuentro fatal
41,"5,1",60%,George Mihalka,Mark McQuade CrawfordWilliam CrawfordMiguel Tejada-Flores,"Añade un argumento en tu idioma
The college student Patrick Costello shares an apartment with his childhood friend Nick and has a crush on his professor Laurel Young. Patrick has premonitions through dreams and daydreams since he was a kid and recently he is foreseeing the deaths of young women. He succeeds on dating Laurel and soon he learns that she is also dating her friend and also professor The... Leer todo",1h 32min,Psychic
42,"3,8",--,Jag Mundhra,Steven Iyama,"Añade un argumento en tu idioma
After a business deal with the mob goes down in flames, a realtor enlists his sexpot girlfriend to help him get revenge.",1h 30min,Último aviso
43,"5,0",--,Peng-Tang Teng,Peng-Tang Teng,"Añade un argumento en tu idioma
A Hong Kong cop going to the Mainland to investigate a major gunrunning case.",--,Hei xing feng yun
44,"7,3",--,Martin Scorsese,John D. MacDonaldJames R. WebbWesley Strick,"Un violador convicto, liberado de la cárcel tras cumplir una condena de catorce años, acosa a la familia del abogado que le defendió en un principio.",2h 8min,El cabo del miedo
45,"5,9",--,Robert Benton,E.L. DoctorowTom Stoppard,"Los altibajos del respetado mafioso Dutch Schultz vistos a través de su joven pupilo. ¿Llegarán a ser el poder, el dinero y el glamour del crimen la última seducción",1h 46min,Billy Bathgate
46,"5,5",--,Heinrich Dahms,Heinrich DahmsRichard Beynon,"Un escritor lleva a sus hijos y a una niñera recién contratada a un viaje a Sudáfrica mientras su esposa, una reportera, está en una misión. Cuando se niega a dejar a su esposa por la niñera, esta se venga secuestrando a sus hijos.",1h 29min,Una extraña en casa
