,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.0,--,Jan Kounen,Carlo De Boutiny,"Across a futuristic city's narrow streets, a coven of modern witches chases a thief on motorized flying brooms.",5m,Gisèle Kérozène
1,7.1,67%,George Scribner,Gerrit GrahamSam GrahamChris Hubbell,A poor boy and a prince exchange identities and lives while the villainous Captain of the Guard plots to take advantage of this.,25m,The Prince and the Pauper
2,7.4,--,Frank MarshallRob Minkoff,Gary K. WolfBill KoppKevin Harkey,Roger Rabbit struggles to keep wandering Baby Herman safe in an amusement park where the usual havoc ensues.,7m,Roller Coaster Rabbit
3,7.2,--,Bruno Bozzetto,Bruno Bozzetto,Men killing each other through the ages for various reasons.,9m,Cavallette
4,--,--,Chris Innis,Charles BukowskiChris Innis,,14m,Love Pig
5,--,--,Inmaculada Hoces,Inmaculada Hoces,Add a plot,16m,Cualquier día con Manuela
6,6.6,--,Martin Barry,Martin Barry,"With the arrival of a new juke-box in a snack-bar, the cockroaches' life becomes suddenly a little more animated.",10m,Juke-Bar
7,6.6,--,Minoru Okazaki,Hiroshi TodaAkira Toriyama,A comedy about a family of old-fashioned samurai living in modern-day Tokyo whose young son has to head out for an important date.,20m,Kennosuke-sama
8,7.0,--,Harry Sinclair,Harry Sinclair,Add a plot,24m,Linda's Body
9,7.6,--,John Weldon,John Weldon,"A scientist has invented a teleportation device, but when an observer learns the details of how it works, she is left with a moral dilemma and a meditation on the nature of self and morals.",10m,To Be
10,6.5,--,Craig Bartlett,Craig Bartlett,"Arnold, a school kid with a vacant stare and hair sticking out, takes the bus to school. He sits idly through lessons. Then, it's time for band, where he plays the piccolo. He daydreams through the Vienna waltz, imagining himself ice-skating, and sending the school bully into the cold water by cutting a circle through the ice around him. The band plays a second song, ... Read all",3m,The Arnold Waltz
11,6.6,--,Igor Kovalyov,Igor KovalyovEvgeniy Nazarenko,The relationship between a married couple shatters when a visitor reveals to the husband that his wife is secretly a hen.,13m,Ego zhena kuritsa
12,7.1,--,Andrew Garrison,Andrew GarrisonGurney Norman,,12m,Fat Monroe
13,6.7,22%,Randall Miller,Randall Miller,"Worse than having your glove stolen, worse than Chinese water torture, even worse than the earth spinning off its axis and careening into Mars, your mom enrolls you in Marilyn Hotchkiss' program. Not only do we have to wear a tie and jacket, but you have to be polite... and dance... with girls! What Steve and Peter didn't know was that this was to become the biggest d... Read all",34m,Marilyn Hotchkiss' Ballroom Dancing and Charm School
