,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.0,--,Jan Kounen,Carlo De Boutiny,"Across a futuristic city's narrow streets, a coven of modern witches chases a thief on motorized flying brooms.",5m,Gisèle Kérozène
1,6.6,--,Igor Kovalyov,Igor KovalyovEvgeniy Nazarenko,The relationship between a married couple shatters when a visitor reveals to the husband that his wife is secretly a hen.,13m,Ego zhena kuritsa
2,7.4,--,Nicholas Franghias,Nicholas Franghias,"On the eve of an invisible war, young Alexis serves his 21-month national military post on a remote island. The night is not easy. When through the music and the breaking news bulletins of his small radio transistor he starts receiving strange frequencies, his childhood friends, his memories, the ghosts and visions of his beloved ones materialize beside him rescuing h... Read all",30m,639 kai mia nyhtes
3,7.8,--,Robert David,Robert DavidJ. Searle DawleyMary Shelley,"Thoroughly researched remake of the first screen version of Mary Shelley's story. Blending visual nightmare & Gothic romance, it tells this much trampled tale more as Jekyll and Hyde ghost story. A look at one man's struggle with the inadequacies of solitary creation.",19m,Edison's Frankenstein
4,--,--,Sergio Fernando BarbosaLuis Alberto Restrepo,Gabriele KrausConsuelo MoureRodolfo Wenger,,17m,Champagne
5,--,--,Héctor Gómez,Héctor Gómez,,23m,Tim sucede algo?
6,--,--,Edgar Pêra,--,,7m,Reproduta Interdita
7,5.5,--,Anatoliy Petrov,Anatoliy Petrov,Adult cartoon based on the Greek mythology.,10m,Dafna
8,--,--,Osamu Kasai,Mitsuteru YokoyamaAkiyoshi Sakai,Add a plot,27m,Mahô tsukai Sarî
9,--,--,Diane H. Kelly,Diane H. Kelly,A young homeless waif collects cans in her little red wagon to recycle to buy food to feed her family. The girl buys a bouquet of brightly colored helium balloons instead and goes on an adventure.,3m,Up!
10,--,--,Elena Turova,Elena Turova,An animated film for adults about the cycle of life from cradle to grave.,10m,Illyuzion
11,--,--,Manick Sorcar,Myron D. HolmanManick Sorcar,"The classic fairy tale tells the story of two step sisters, Deepa and Rupa. Rupa is kind and unselfish; Deepa is uncaring and greedy.",30m,Deepa & Rupa: A Fairy Tale from India
12,7.2,--,Adolf BornJaroslav Doubrava,Edgar DutkaMilos Macourek,Story about a hard way to the stage. Our hero gives up his job in a restaurant to find fame on fortune at the opera. will he succeed?,8m,About the Tap Who Sang at the Opera
13,7.3,--,Boris Akulinichev,Mariya DeynegoH.G. Wells,"The hero of the film, Wallace, is trying to reconcile the dream of a world of beautiful souls and human relationships with the reality of a prosperous bourgeois.",19m,The Door in the Wall
14,7.9,--,Jim HensonFrank Oz,Bill Prady,Experience the magic of the Muppets during a hilarious film and live-action extravaganza.,20m,Muppet*vision 3-D
15,6.8,--,Daniel Greaves,Daniel Greaves,"A discarded cartoon character and some spilt ink combine and interact as if the cartoonist had drawn their actions. Discovering them, the cartoonist then joins in the interaction.",7m,Manipulation
16,5.7,98%,L. Frank BaumBarbara Oliver,Norma MacMillanLee TockarChristine Lippa,"This whaked out anime short pulls out all the stops, making fun of every aspect of the story and filmmaking in general. Britain Dunham speaks like Arnold Schwarzenegger as ""The Tinmanator"" in this adaptation of the L. Frank Baum classic of the girl carried to a fantastic realm who must seek out the Wizard to get home. The Wizard here speaks just like Elmer Fudd.",24m,The Wizard of Oz
17,7.4,88%,Paul Berry,E.T.A. Hoffmann,"Upstairs, in the moonlit and empty room, a little boy scared of the dancing shadows, encounters a figment of his vivid imagination: the horrible Sandman.",10m,The Sandman
18,8.2,--,Stephen van Vuuren,Marie van Vuuren,,8m,Lunatic
19,7.4,--,Joanna Woodward,Joanna Woodward,A man sees a ballerina dancing on the top of a tower block and he sets off to find her. Only to be confronted by a giant at the top,19m,The Brooch Pin and the Sinful Clasp
20,6.7,--,Carlos Atanes,Carlos Atanes,"A strange love-story between a mad butcher and a young prostitute, they both inserted in a paradoxical Time structure, like Escher engravings.",21m,The Marvellous World of the Cucu Bird
21,--,--,Dado Amaral,Dado AmaralGrupo Boato,,14m,Boato uma auto definitude
22,--,--,Richard R. Hoover,Greg Ehrbar,"When the Sorcerer Yensid orders Mickey to show his Guests all the new magic coming to Disney Parks and Resorts, his magical, wisecracking friend Crystal Ball comes to the rescue with a wondrous glimpse into a fantastic future of fun. The film was created as part of the massive 25th Anniversary Celebration of Walt Disney World Resort. It was the centerpiece of the Anni... Read all",12m,Mickey's Magic Workshop
23,7.3,--,Nobutaka NishizawaKazuhisa Takenouchi,Koji InadaRiku SanjyoKatsuyuki Sumizawa,"It starts with a kid named Dai remembering a story told to him by his grandfather, the monster magician Brass, about the defeat of the Demon Lord Hadlar by the hands of a hero who, as the story progresses, is known to be Avan",40m,Doragon kuesuto: Gureto Adobencha
24,--,--,Kermit Cole,Kermit Cole,"Millions of years ago, prehistoric clowns roamed the earth, cast out from the society of the primitive, and humorless, cave-people. They wander a bleak and threatening land until their discovery of comedy unlocks their unique potential. The clowns overcome the hostility of the cave-people by showing them that there is an option to mere survival and fear; there is sill... Read all",19m,Before Comedy
25,--,--,Sergey Mavrody,Sergey Mavrody,"An Extraterrestrial arrives on Earth, but remains tragically unnoticed.",5m,Opasnaja planeta
26,--,--,Peter Kylberg,Peter Kylberg,n abstract film that discusses the possibility of a non-violent existence. The spectator is challenged to take part in an experiment intended to reach into the undiscovered areas of the ability to think.,23m,F-42
27,--,--,Paul Middleditch,Saturday RosenbergWilliam Brandt,,13m,When Ships Draw Near
28,--,--,Harry ArpAlewijn DekkerRob Posma,Jessica Marshall-Gardiner,Add a plot,37m,Light & Life
29,--,--,Richard James Allen,Richard James Allen,"Mistakes of Heaven is a poetic/expressionistic film, which shows a man's progress upward from one stage of hell to the next. It is an experimentally expressed narrative - told in images and movement - of a man tangled in dreams and ambitions which are at once uplifting, mystifying and humbling. Mistakes of Heaven is a humanistic vision of a man who discovers his empat... Read all",12m,Mistakes of Heaven
30,--,--,Vadim Kostromenko,Dmitri Kostromenko,Add a plot,--,"Ne uletay, zemlyanin!"
31,--,--,Jean Manuel Costa,Jean Manuel CostaSophie DecroisetteE.T.A. Hoffmann,,13m,Un amour d'Hoffmann
32,--,--,Gregory Hansen,Gregory Hansen,Add a plot,--,Seven Souls
33,--,--,Marie-Christine Perrodin,Marie-Christine Perrodin,,22m,Chasse gardée
34,6.0,--,Greg Nickson,Greg NicksonGuy NicksonMarkus Greiner,"A man shows up to a drum audition and puts to shame the other drummer who has better equipment. He gets the gig and plays surfer-style music. Later, the other drummer attacks him and messes him up, but his new girlfriend helps him to regain his drum skills with electricity.",26m,Drum Struck
35,--,--,Sérgio Tréfaut,PlatoSérgio Tréfaut,,23m,Alcibíades
36,8.0,--,Jan Svankmajer,Jan Svankmajer,"Examines the human relationship with food by showing breakfast, lunch, and dinner.",17m,Food
37,6.6,--,Mark Christopher,Mark Christopher,"It's the 1990s. Toby, just out of college in Wisconsin, comes to Manhattan to spend the summer with his older cousin, Packard, a gay man whose lover John R. has just died of AIDS. Toby is shy, the openly-gay society around him makes him nervous. Packard gives Toby a pair of John R.'s shoes; when Toby puts them on, he has powerful visions of the pre-AIDS scene in the 1... Read all",26m,The Dead Boys' Club
38,7.3,--,Geoff Dunbar,Paul McCartneyLinda McCartney,"Paul McCartney's sketched short based on the works of artist Honoré Daumier. A man in a bookstore reads an allegorical story about a wrongfully convicted man, who must feed a giant called Gargantua until salvation comes.",15m,Daumier's Law
39,--,--,Gustavo Fuertes,Gustavo Fuertes,"A senseless war causes the destruction of the planet Earth. A pilot, sole survivor, lands before God, The Grim Reaper and Father Time, to be judged for all the sins of Mankind.",23m,El juicio final
40,6.7,--,Graham MorrisKaren Peterson,Gahan Wilson,"On a dark and stormy night, a rookie trucker is asked by his supervisor to check up on an eerie nightmarish diner where a ghoulish cook and a giant monstrous chef try to put him on the menu.",6m,Gahan Wilson's Diner
41,3.9,--,Jeff Baron,Jeff Baron,A cellulite eating guinea pig torments the dieting woman who feeds him.,25m,The Bruce Diet
42,6.8,--,David Kaplan,David Kaplan,A child ignores his mother's outrageous and terrifying warning not to suck his thumb.,8m,Little Suck-a-Thumb
43,--,--,Carlos Gómez Oliver,Carlos Gómez Oliver,,27m,Más allá
44,--,--,Raúl Hernández Garrido,Raúl Hernández Garrido,,--,Bajo la arena
45,--,--,Karina Escamilla,Rodolfo AriasErnesto Gómez CruzLourdes Jáuregui,,35m,Un toque angelical
46,--,--,Christian Gruaz,Christian GruazDamián Dreizik,An old gnome and his assistant will use all of their Magic and Alchemy knowledge to protect a little princess from the attack of an ogre and his terrible gang of monsters.,--,"De ogros, duendes y alquimia"
47,7.9,--,Aleksandr Petrov,Fyodor DostoevskyAleksandr Petrov,"The man decides to die, but falls asleep at the last moment. He dreams that he died and ended up on another planet, very similar to the Earth, but the people living here do not know sin.",20m,The Dream of a Ridiculous Man
48,--,--,Janica Draisma,Janica Draisma,,4m,La balayeuse
49,5.4,--,Paul Driessen,--,"In a small country, surrounded by a dyke, dwell the Water People. They live partly submerged in water, for instead of keeping it out, the dyke keeps the water in. Their King, however, hates water and tries to sell out.",13m,The Water People
50,--,--,César Galindo,César Galindo,"Cosimo, a young musician, leaves his old neighborhood behind and moves to a new life, located under the bridge of Danvikstull. A corner of the city, part cathedral , part fantasy and rock'n roll. The state of things are bizarre and unreal.",29m,Kungen av Danvikstull
51,--,--,Mike AraziaTim ClarkScott Golden,Dave MillerTim ClarkScott Golden,"""Trail of the Werewolf"" tells the tale of Harry who is a wild man wandering around the town and at night, during the full moon, - is a werewolf.",43m,Trail of the Werewolf
52,--,--,Robert Sarkies,Robert Sarkies,An inner team of dream-makers guide a young girl towards a terrifying nightmare.,10m,Dream-Makers
53,4.5,--,Fred Carpenter,Fred Carpenter,"As Fog and the others travel across United States by train, Transfer attempts to use the wild terrain against them. When he sabotages the bridge across Medicine Bow Gorge, Fog is forced to take a desperate gamble by attempting to direct the train across the bridge at maximum speed.",28m,Moment of Truth
54,6.6,--,Tadanari Okamoto,Kenji MiyazawaTadanari Okamoto,A couple of hunters lost in a forest find a restaurant. Upon entering they are greeted by greater and greater requests.,19m,A Well-Ordered Restaurant
55,6.3,--,Macoto Tezuka,Osamu Tezuka,Add a plot,24m,Akuemon
56,6.9,--,Ishu Patel,Marilyn Bowering,"An environmental morality tale. A divine gate gives one all that one desires, on the condition that one takes only what one needs and one gives something good in return.",11m,Divine Fate
57,7.2,--,Peter Capaldi,Peter Capaldi,"While trying to decide what Gregor Samsa wakes up as, Kafka's constantly being interrupted by knife-selling strangers, party noise, girls, fancy dress costumes, and other strange, dreamlike visions.",23m,Franz Kafka's It's a Wonderful Life
58,5.9,--,María Novaro,Dharma Reyes,"A woman who lives alone with her mother makes up a fantasy world, to escape reality.",6m,Otoñal
59,4.4,37%,Holly Dale,Robert Hunter,An encounter between a drug addict and a hit man on the Toronto streets,14m,Dead Meat
60,--,--,Agustí Vila,Agustí Vila,,11m,El hombre de cristal
61,--,--,Polly Nash,Mark CairnsPolly Nash,,12m,The Debutante
62,--,--,Jorge Esma,Jorge Esma,,43m,La niña de Izamal
63,--,--,Juan Antonio Rodriguez,Alfoso Suares Romero,,8m,Mambo Satan
64,--,--,Patricia Zubieta,Patricia Zubieta,,25m,Las inutiles fantasias de Tania
65,--,--,Arnault Labaronne,Arnault Labaronne,"Mr. Brioché is a retired puppet-master who lives in recluse with his memories... until one day, his old companions stored away in the attic, come to life...",30m,Fantoccio
66,7.6,--,Mihail Badica,Hans Christian AndersenMihail Badica,"Hans Christian Andersen's well-known fairytale about the soldier, the witch, the dogs, the princess and half the kingdom",35m,Fyrtøjet
67,--,--,Janica Draisma,Janica Draisma,,10m,Bala II
68,--,--,Olivier Legan,Marcus BaronDaniel BerettaOlivier Loustau,,--,Le bledia
