,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,5.1,--,Paul Hart-Wilden,Paul Hart-Wilden,A traveler seeks refuge in a room only to find it still possessed by a demonic creature that has already killed the previous inhabitant.,5m,Horrorshow
1,5.9,--,Lincoln Kupchak,Lincoln Kupchak,Woman is stalked by her demented boyfriend on a college campus.,3m,Campus Stalker
2,6.9,--,Álex de la Iglesia,Jorge GuerricaechevarríaÁlex de la Iglesia,"A man comes into a bar in which there's only one other customer and asks the bartender to serve him a Mirinda (a Spanish orange drink). But then he refuses to pay for it, saying that the bartender had never warned him that he would have to; when the bartender insists, the man takes out a rifle and kills him. Then he asks the other customer to keep serving him more Mir... Read all",12m,Mirindas asesinas
3,6.6,--,Igor Kovalyov,Igor KovalyovEvgeniy Nazarenko,The relationship between a married couple shatters when a visitor reveals to the husband that his wife is secretly a hen.,13m,Ego zhena kuritsa
4,7.8,--,Dinko Tucakovic,Dinko Tucakovic,,17m,"Bernisa, jaca od smrti"
5,7.8,--,Robert David,Robert DavidJ. Searle DawleyMary Shelley,"Thoroughly researched remake of the first screen version of Mary Shelley's story. Blending visual nightmare & Gothic romance, it tells this much trampled tale more as Jekyll and Hyde ghost story. A look at one man's struggle with the inadequacies of solitary creation.",19m,Edison's Frankenstein
6,7.1,17%,Stig BergqvistMartti EkstrandJonas Odell,Stig BergqvistMartti EkstrandJonas Odell,A mix between Disney and Kafka the film describes a world were there is no way to escape being entertained...,20m,Exit
7,7.8,60%,Al GuestJean Mathieson,Oscar WildeAl GuestJean Mathieson,"The poor ghost of Sir Simon Canterville has been roaming his castle searching in vain for a brave descendant who will release him from the Canterville curse by performing a brave deed. An American family moves in and finds the ghost amusing, but a young girl in the family can release him - if she dares.",42m,The Canterville Ghost
8,4.8,--,Eric D. Wilkinson,Eric D. Wilkinson,Add a plot,19m,The Violence Movie 2
9,--,--,Bill Wadsworth,Bill Wadsworth,Add a plot,--,Tailypo
10,--,--,Skinny PuppyDwayne R. GoettelCevin Key,--,,6m,Skinny Puppy: Worlock
11,--,--,Darren J. Perry,Joanne CraigPeter MarshDarren J. Perry,A group of friends find out that one of their group is a psychopathic killer.,30m,Darkside
12,--,--,Darren J. Perry,Darren J. Perry,A group of friends discover an old book unleashing The Fiend.,30m,The Fiend Part II
13,--,--,Jason Paul Collum,Jason Paul Collum,"When she puts on a murdered woman's shoes, a teenager's body is used as a vessel for revenge.",10m,Dead Women Don't Wear Shoes
14,7.4,88%,Paul Berry,E.T.A. Hoffmann,"Upstairs, in the moonlit and empty room, a little boy scared of the dancing shadows, encounters a figment of his vivid imagination: the horrible Sandman.",10m,The Sandman
15,7.5,--,Ken Lidster,Ken Lidster,"A thin shadow figure starts swallowing balloons in an attempt to make himself more solid, and develops body, surface texture, markings and a face. Meanwhile, a lonely young girl is attracted by the balloons' hissing sounds, and is drawn to the shadow's lair. The grinning shadow quickly ties her up, but, overconfident, becomes entangled in his own machinery, and has th... Read all",6m,Balloon
16,--,--,Alfredo E. Rodriguez,Alfredo E. Rodriguez,"A man struggles to fight his own inner, and outer demons.",21m,"Baby, I'm a Werewolf"
17,6.9,--,Heiki Ernits,Toomas Kall,,10m,Ärasõit
18,--,--,Andrey Myortvy,Andrey Myortvy,The demobilized Baltic sea sailor met the injustice of the world around him and committed suicide.,10m,Mochebuitsy-trupolovy
19,--,--,Jeff Hartman,Jeff HartmanJason Hatfield,"A guy kidnaps the Snuggle bear and kills him. Gunfire, Metallica, and a stuffed, lovable bear were the components to a serious relief in monotony and gave birth to this wonderful, twisted, and overall meaningless story.",10m,Static Cling
20,--,--,Nikola Majdak Jr.Marko Stojanovic,Zoran Stefanovic,,8m,"Ars longa, vita brevis"
21,7.3,--,Aleksandr BubnovVladimir GoncharovValeriy Konoplev,Aleksandr BubnovValeriy Konoplev,"Three short animated ""horror"" miniatures. The first is about a piece of meat, which in ordinary Soviet cuisine is chased by hands, wanting to make minced meat out of it. The second is about a guest from unknown worlds who came to Earth at night. The third is about Kolobok trying to devour starving animals on its way.",10m,Fright-Muzzles
22,--,--,Claudio LiucciEmanuel Ruggeri,Claudio LiucciEmanuel RuggeriDominic Zappavigna,Add a plot,4m,The Awakening of Herman
23,5.7,--,Nikolay Lebedev,Natalya Chepik,"Finding herself in a godforsaken place, the heroine with her adopted daughter is forced to look for a place to sleep. Having found refuge in the building of an abandoned boarding school, she meets there close people from her past.",30m,Nochleg. Pyatnitsa
24,--,--,Jason Paul Collum,Jason Paul Collum,A teenage slumber party becomes a bloodbath as one-by-one each teen is attacked by a mysterious madman...or is it a woman?,29m,Eternal Slumber
25,--,55%,Pete Jacelone,--,,10m,Lost Child
26,--,100%,Ken Bruce,--,"Animated short film by Ken Bruce about poor Andrew Scott. A baby who, to the obliviousness of his mother. Gets tortured by the giraffe toy ""Mister Giraffe"".",5m,Lullaby
27,--,--,Tim Tuchrello,Tim TalbottTim Tuchrello,,27m,SoulStealer
28,--,--,Michael Pollklesener,Michael Pollklesener,Add a plot,40m,Fuck the Devil 2: Return of the Fucker
29,6.3,--,Lincoln Kupchak,Lincoln KupchakJamie MannKimberly Sauer,"A parody of slasher films, about a group of college students heading to a resort in the woods.. only to be slaughtered one by one by a deranged killer.",12m,Terror in the Hot Tubs
30,7.5,--,Thomas Frick,Thomas Frick,Add a plot,27m,Varieté
31,6.7,--,Graham MorrisKaren Peterson,Gahan Wilson,"On a dark and stormy night, a rookie trucker is asked by his supervisor to check up on an eerie nightmarish diner where a ghoulish cook and a giant monstrous chef try to put him on the menu.",6m,Gahan Wilson's Diner
32,--,--,Pimpaka Towira,--,"An experimental take on the folk legend of the ghost Mae Nak Phrakanong. This film subverts perspective, telling the story from the viewpoint of the vengeful spirit of a woman who died in childbirth rather than the terrified villagers.",33m,Mae nak
33,3.9,--,Jeff Baron,Jeff Baron,A cellulite eating guinea pig torments the dieting woman who feeds him.,25m,The Bruce Diet
34,--,--,Ulises Guzman,Enrique CastilloUlises Guzman,A psychopath tears off the eyes and hearts of his victims.,40m,Corazones de terciopelo
35,--,--,Pedro Temboury,Pedro Temboury,A young boy has a hard addiction to rock'n'roll vinyls. He needs to steal to keep alive his collection.,19m,Vida y muerte de un coleccionista de discos
36,--,--,Chris Seaver,Chris Seaver,"A Fan Film, as a 9th installment to the Friday the 13th films, before Jason Goes to Hell Was Released.",--,"Friday the 13th, Part 9 (Fan Film)"
37,--,33%,Byron C. MillerJustin Young,Adam FortneyByron C. MillerJustin Young,"Two teenagers, Scott and Fred, accidentally summon a demon. Fred gets possessed and goes on a killing spree. Can Scott stop the evil before it's too late? Short film by Byron C. Miller and Justin Young, when they were in middle school. Shot on Byron's Dad's VHS camcorder.",4m,The Possessed
38,--,--,Byron C. MillerJustin Young,Brad YoungByron C. MillerJustin Young,"Alex and his dad move into a new house. What they don't know is that an inter-dimensional monster is lurking in the closet. Short film by Justin Young and Byron C. Miller, made when they were in the eight grade.",4m,The Closet Monster
39,--,--,Byron C. MillerJustin Young,Adam FortneyByron C. MillerJustin Young,"A knife wielding maniac slaughters a group of friends at a sleepover. Can Jack stop him? Short film my Byron C. Miller and Justin Young, when they were in the eight grade.",5m,The Slaughter
40,--,--,Mike AraziaTim ClarkScott Golden,Dave MillerTim ClarkScott Golden,"""Trail of the Werewolf"" tells the tale of Harry who is a wild man wandering around the town and at night, during the full moon, - is a werewolf.",43m,Trail of the Werewolf
41,--,--,Mack HailJim Mills,Mack HailJim Mills,,21m,The Shape
42,--,--,Mack Hail,Doug CitizenJim MillsMark Towns,,18m,The Room Mate
43,--,--,Tom MesmerStephen Niver,Tom MesmerStephen Niver,,8m,Blood Clot
44,--,--,Tom MesmerStephen Niver,Tom MesmerStephen Niver,,15m,Red
45,5.5,--,Jeri Cain Rossi,Flannery O'ConnorJeri Cain Rossi,A southern family meet their end at the hands of a philosophical serial killer.,16m,Black Hearts Bleed Red
46,--,--,Craig Godfrey,Craig Godfrey,,30m,Beyond the Rim
47,--,--,Dewi Griffiths,Dewi Griffiths,"1982: A widowed farmer's wife's only son is lost in action during the Falklands War. She turns to her friend, a white witch to bring him home safely. He returns home but all is not as it seems.",29m,Rhyfel Cartre
48,6.9,--,Judas BullhornDistortion Wells,Michael BishopDave BrockieBalsac the Jaws of Death,Add a plot,4m,Gwar: Gor-Gor
49,6.6,--,Tadanari Okamoto,Kenji MiyazawaTadanari Okamoto,A couple of hunters lost in a forest find a restaurant. Upon entering they are greeted by greater and greater requests.,19m,A Well-Ordered Restaurant
50,4.5,--,Lincoln Kupchak,Charles AxworthyMelanie J. ElinLincoln Kupchak,"The young and inexperienced vampire Veronique travels to America, while being pursued by her vengeful cousin Vladius.",17m,Blood in the Night
51,6.9,--,Boris Kossmehl,Boris KossmehlAndrea Friedrich,"A little girl witnesses her aunt being taken dragged into hell, for defaulting on a washing machine payment. The aunt, while officially dead, feels that she has forgotten something, and returns to find out what it is...",13m,Not Without My Handbag
52,5.5,--,Sarah Jacobson,Sarah Jacobson,"Mary was a good girl until she decides to kill all the ""sexist pigs"". She of course encounters many of which, and enjoys killing them.",27m,I Was a Teenage Serial Killer
53,4.4,37%,Holly Dale,Robert Hunter,An encounter between a drug addict and a hit man on the Toronto streets,14m,Dead Meat
54,7.4,--,Peter Chiang,Peter ChiangTim FieldChristopher Fowler,"Mr. Packham runs a debt recovery service. One night, he delivers a package on his way home from work. As he leaves the underground car park in his smart new BMW, he accidently injures a homeless teenager. Realising that there are no witnesses, he revs his engine and drives away. But the city has a way of dealing with those who try to cheat fate...",17m,Left Hand Drive
55,5.4,--,Roberto Fiesco,Roberto FiescoJulián Hernández,"Oscar works in a public bath, where he murders several people.",23m,Actos impuros
56,5.4,--,Lö Lee,Ruedi BongBruno BrunelliRoble Brutelli,Some angry cops meet their match when they raid a house full of violent drug dealers.,24m,Blutgeil
57,5.7,--,Peggy Ahwesh,Peggy Ahwesh,A creepy concoction of a ghost story with little plot other than spooky sound and visuals.,7m,The Scary Movie
58,--,--,Giovanni Polesello,Mauro GariglioGiovanni Polesello,,22m,The Invasion of the Pornonauts
