,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.7,22%,Randall Miller,Randall Miller,"Worse than having your glove stolen, worse than Chinese water torture, even worse than the earth spinning off its axis and careening into Mars, your mom enrolls you in Marilyn Hotchkiss' program. Not only do we have to wear a tie and jacket, but you have to be polite... and dance... with girls! What Steve and Peter didn't know was that this was to become the biggest d... Read all",34m,Marilyn Hotchkiss' Ballroom Dancing and Charm School
1,7.8,--,Robert David,Robert DavidJ. Searle DawleyMary Shelley,"Thoroughly researched remake of the first screen version of Mary Shelley's story. Blending visual nightmare & Gothic romance, it tells this much trampled tale more as Jekyll and Hyde ghost story. A look at one man's struggle with the inadequacies of solitary creation.",19m,Edison's Frankenstein
2,5.0,--,Joanna Priestley,Scott ParkerVictoria ParkerJoanna Priestley,"All My Relations satirizes the pitfalls of romance, from marriage, childbirth and upward mobility to the disintegration of a relationship. The animation is framed by a series of sculptural assemblages, which emphasize the message implied by the archetypal characters whose dilemmas may be familiar to those who have bought into the American Dream. Selected Festivals: Na... Read all",5m,All My Relations
3,--,58%,Jeannice Adriaansens,Jeannice Adriaansens,,9m,After You
4,5.7,--,Julie Cypher,Sherman AllenDiedrich BaderEllen DeGeneres,A typically oddball evening in an exclusive L.A. restaurant.,30m,Arduous Moon
5,--,--,Nikos Sekeris,Nikos Sekeris,"The clash with rival gypsy street musicians and the chance encounter with a roving peeping Tom will enable a young boy to ""witness"" the ritual of love. At the same time this odd meeting will provide both of them with a few moments of companionship.",24m,Anexitila hromata
6,--,--,Herbert Fehrmann,Herbert Fehrmann,,25m,Only Because of You
7,--,--,Carlos García Agraz,Susana CatoGabriel García Márquez,,29m,El espejo de dos lunas
8,5.7,--,Stephen Cummins,Stephen CumminsSimon Hunt,"A stylized, wordless look at two men in Sydney: a gay man and a man who leads a gay-bashing gang. The gay man, recovering from his beating, practices dance that is sometimes tai chi, sometimes ballet, sometimes modern jazz. The man who rescued him from the beating is his teacher, his lover, and his dance partner. We also see his attacker, who, trapped in machismo, mis... Read all",11m,Resonance
9,--,--,Daresha Kyi,Daresha KyiIsaiah Washington,A young woman takes her boyfriend home to visit her family and is confronted with her father's alcoholism.,21m,Land Where My Fathers Died
10,--,--,Sylvie Fefer,Sylvie FeferGlenda Leznoff,A shy young woman tries the latest craze in self-improvement: personality-modifying software diskettes which fit into a slot cut in your head!,9m,Personality Software
11,--,--,Jean-Marie Larrieu,Jean-Marie Larrieu,,24m,Les baigneurs
12,--,--,Bruno de André,Bruno de André,,7m,"Aventura, Amor & Transporte Público"
13,--,--,Alexis Bistikas,Alexis Bistikas,Add a plot,37m,I gravata
14,6.7,--,Srdjan Dragojevic,Charles BukowskiSrdjan Dragojevic,Plot is about a man who's been in his apartment ever since his wife left him. Evening after evening he's getting drunk and calls a hot line girl called Kiki.,30m,Sve Zene Se Zovu Kiki
15,--,33%,Hassan Bakhshi,Julianne Heckert,A wife invigorates her marriage by taking ballet lessons.,--,Now and Then
16,--,--,Vincent Heristchi,Vincent Heristchi,,16m,L'Ame des lieux
17,--,100%,Dawn Fields,Dawn Fields,,--,Promises
18,--,--,Sergey Artimovich,Sergey ArtimovichYelena Tarasova,Add a plot,--,Solnechnyy den v kontse leta
19,--,--,Muriel Téodori,Muriel Téodori,,8m,"Eux, vous, nous"
20,7.6,--,Álvaro Fernández Armero,Álvaro Fernández Armero,"Late at night, a boy and a girl are waiting for the last train in a subway station, which is deserted but for them. They are thinking to themselves about their problems, and we hear their thoughts as voice over monologues. Soon they start exchanging casual glances; they find each other very attractive, and, separately but simultaneously, they start to fantasize about ... Read all",9m,El columpio
21,6.7,--,Brian Sloan,Brian Sloan,"Justin, a 17-year old entering his final year of high school, gets a job as a life guard at a fitness center. Surrounded by hard bodies of both sexes and instructed by his boss to keep an eye on the steam room to report any men having sex, Justin begins to divine the direction his erotic feelings point. In separate incidents, Vicky and Russell, two older co-workers, h... Read all",27m,Pool Days
22,6.5,--,Ethan Hawke,Ethan Hawke,A young man wonders what his life would be like if he had made different choices in past situations. He meets an older man who gives him the chance to revisit those past moments in question. But there's a catch. He isn't aware of how his actions dramatically affect his future as well as others.,21m,Straight to One
23,6.4,--,Reid Waterer,Reid Waterer,"In Wyoming, in the early 80s, teenager Steve is in love with his best friend Mark, but Mark is unsure.",21m,The Kiss on the Cliff
24,--,--,Elizabeth Foley,Elizabeth Foley,,13m,Jeanne & Hauviette
25,--,96%,Keoni Tyler,Keoni,"Intended as a personal parting gift for the writer-director's first love, the nightclub large screen debut endeared itself to the public and prompted calls for the film's entry in a public film festival. The short film of romance took home the Most Creative prize at the Baran Film Festival in 1993.",5m,Something for Joey
26,7.6,81%,Angel Connell,Angel Connell,"""You Know My Name"" (1993) is a comedic musical short inspired by an obscure Beatles novelty tune. While visiting a mysteriously surrealistic dating agency, a lonely woman (Betty Taylor) checks out the video tapes of one male prospect (Angel Connell) who seems to have multiple personalities. With remote in hand, the woman speeds past those parts of her character she fi... Read all",6m,You Know My Name
27,--,--,Frédéric Marchand,Maïté MailléFrédéric Marchand,,17m,Les retrouvailles
28,5.8,--,Danièle RoyCilia Sawadogo,Normand Mongeon,"-This is a fable about a woman's right to choose her husband: it tells the story of a princess, who has several suitors. She puts them to the test, and finally chooses the one who has demonstrated the finest moral qualities.",6m,The Woman with Three Husbands
29,--,--,Andrea Leoni,Andrea Leoni,,12m,Cupido
30,--,--,Fred Cassidy,Fred Cassidy,,20m,Kissing Time
31,--,93%,Sanil Khosla,Vibha Dutta KhoslaSuniel Shetty,,--,Sweetheart
32,--,--,Ravi Kishan,--,,--,Daal Mein Kala
33,--,--,Rohit Bhatia,--,,--,Chori Chori
34,--,--,Tomihiko Ôkubo,Tatsuhiko Urahata,Ibuki Morisato's dream of kissing a prince turned into reality when her dream prince appeared as the new transfer student?.,31m,Kiss wa Hitomi ni Shite
35,--,--,Sebastien Chantrel,Heather Stewart Whyte,Add a plot,--,Dior: Miss Dior Le mariage
36,--,--,Tom Mesmer,Tom Mesmer,,--,Delilah
37,5.8,--,Paul Lee,Paul Lee,"Through the meeting of lips, this film explores the parallels between racist and homophobic violence.",6m,Thick Lips Thin Lips
38,5.5,--,Mani Kaul,Mani KaulBhasaJayasi,"A very clever parrot lives in a Hindu palace, surrounded by many beautiful girls, but the parrot escapes, and is trapped far from the palace. One day, when its new owner is sleeping, the bird convinces a young boy to open the cage door. In return, it shows the boy a secret passage to get into the palace.",29m,The Cloud Door
39,6.4,--,P. David Ebersole,P. David Ebersole,A stressed out writer's getaway is complicated by advances from a lascivious 17-year-old male relative.,30m,"Death in Venice, CA"
40,6.7,--,Tom DeCerchio,Vincent D'OnofrioMiles PerlichEileen Brennan,A masculine gay cop teaches a lesson to a group of young homophobes.,18m,Nunzio's Second Cousin
41,--,--,Bruno de André,Peter RoloffBruno de André,This is a love story that happened last night. Did you know that geometry can calculate the exact trajectory of a kiss? But it is unable to explain solitude.,5m,O Robô
42,--,--,John Daschbach,John Daschbach,Two boys long for each other during a high school ball.,6m,If Only
43,--,--,Tommy O'Haver,--,Short film depicting a gay man's crush on a straight man.,5m,Catalina
44,6.5,--,Takayoshi Muramatsu,Jill BernalTakayoshi Muramatsu,Add a plot,18m,Infatuation
45,--,--,Véronique Aubouy,Véronique Aubouy,,28m,Une femme au soleil
46,--,--,Greg Bowyer,Greg BowyerQuent Cordair,"A bored but ambitious clerk in a PI agency wants to solve crimes, just like the brilliant detective she works for. Flouting company rules, she tries to covertly crack the company's toughest case, but comes under surveillance herself.",27m,For All It's Worth
47,5.3,--,Stefano Soli,Rocco BarbaroAngelo Quattrocchi,"A jerk husband, Sandro a narcissistic actor and his long-suffering young wife, Giulia have moved into a new apartment. She is unpacking, and he his lounging in the bath, and requiring her to wait on him hand and foot. When his brother, Walter comes over to deliver a new wall mirror, he talks the brother into mounting it on the wall. The brother makes a pass at the you... Read all",24m,"Specchio, Specchio delle mie brame"
48,10.0,--,Laura Ziskin,Alvin Sargent,"A softly filmed short film that captures a moment in time between a woman struggling with her spring planting and a traveling actor. Producer Laura Ziskin's directorial debut, written by her long-time companion and future husband Alvin Sargent. Viggo Mortensen and Embeth Davidtz co-star in this half-hour short film that premiered in the 1995 Sundance Film Festival.",30m,"Oh, What a Day! 1914"
