,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,5.9,--,Lincoln Kupchak,Lincoln Kupchak,Woman is stalked by her demented boyfriend on a college campus.,3m,Campus Stalker
1,6.9,--,Álex de la Iglesia,Jorge GuerricaechevarríaÁlex de la Iglesia,"A man comes into a bar in which there's only one other customer and asks the bartender to serve him a Mirinda (a Spanish orange drink). But then he refuses to pay for it, saying that the bartender had never warned him that he would have to; when the bartender insists, the man takes out a rifle and kills him. Then he asks the other customer to keep serving him more Mir... Read all",12m,Mirindas asesinas
2,--,--,Raúl Perrone,Raúl Perrone,,22m,Bang-Bang
3,--,--,Clay Stafford,Clay Stafford,,--,Who Really Raped Ana M.?
4,--,--,Roberto Bolado,Ana Maria AmadorLuis Eduardo Ambriz MartinezCarlos Exiga,,--,El ataud
5,--,--,Jorge Pérez,Jorge Pérez,,15m,Tatuaje
6,--,--,Ulises Guzmán Reyes,Ulises Guzmán Reyes,,15m,Las insolitas imagenes de Aurora
7,--,--,Carlos Marco,Carlos Marco,,33m,Las tinieblas de la noche
8,6.4,--,Fred Gallo,Tracy BaroneElisa Bell,,24m,Writer's Block
9,--,--,Alex Monty Canawati,Alex Monty Canawati,,--,The Short Night
10,--,--,Kim Reddin,Kim Reddin,"Leon Wexler, a paparazzi photographer obsessed with a belief - Elvis Presley is still alive. Enraged by a recent sighting in his old home town, Leon, coerces his yuppie brother, Chad, into joining him to confront the man he is dedicated to proving is'The King'. Armed with a television camera... and a loaded pistol, they venture to a low rent city flop house to face th... Read all",12m,Elvis Killed My Brother
11,6.7,--,Philippe Sisbane,Philippe Sisbane,"Two childhood friends, Daniel and Francis, settle down in Paris. Daniel meets the first only woman for him there - not Francis. The jealousy, which increases, breaks their friendship and separates them. Five years later, Daniel notices strange resemblances between his new fiancée and Francis, whom he has never revised.",17m,Des yeux couleur du temps
12,--,53%,Keith Collea,Keith Collea,Add a plot,--,Long Story Short
13,7.6,--,Jonathan Heap,Stephen TolkinJonathan HeapRichard Lupoff,Poor Myron Castleman is stuck reliving the same 59 minutes of his lunch break.,25m,12:01 PM
14,6.0,--,Marina LevikovaYuri Neyman,Boris KrutchenskyMarina LevikovaGregg Bryan Goldman,A financially struggling accountant is approached by two strangers offering an exorbitant sum in exchange for something unthinkable. Accepting the offer could solve all of his problems or it might mean something else entirely.,--,Heart of the Deal
15,--,--,Carlos del Río,Francisco HinojosaCarlos del Río,,19m,Llaves
16,--,--,Clay Stafford,Clay Stafford,,--,Within the Shadows
17,--,--,Elbert van Strien,Elbert van Strien,,22m,Prinsesje
18,--,--,Andrea Sharp,Andrea Sharp,A young woman discovers the limits of her freedom on the eve of her planned escape from a life as a stripper.,25m,A One Man Woman
19,--,50%,Randy W. Schmidt,Randy W. Schmidt,"Down on his luck messenger Todd finds $30,000 cash on a corpse in downtown Los Angeles and goes on a spending spree to improve his life until violent psychotic ex-con Vic, in search of his stolen money, catches up with him.",43m,Blood Money
20,--,--,Sigur-Björn,--,,5m,Hundur Hundur
21,--,--,Marta Paisa,--,,--,Bruseles
