,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,6.0,--,Jan Kounen,Carlo De Boutiny,"Across a futuristic city's narrow streets, a coven of modern witches chases a thief on motorized flying brooms.",5m,Gisèle Kérozène
1,7.1,67%,George Scribner,Gerrit GrahamSam GrahamChris Hubbell,A poor boy and a prince exchange identities and lives while the villainous Captain of the Guard plots to take advantage of this.,25m,The Prince and the Pauper
2,--,--,Tim Luna,Tim Luna,Add a plot,4m,Lunatics: Sweet Secret Dreams
3,7.9,--,Henrik Peschel,Christian DabelerRocko SchamoniHenrik Peschel,"Rollo Aller. is an independent amateur short film, of which there are a total of 3 parts.",14m,Rollo Aller!
4,--,--,Kiyoshi Murayama,Hideki Sonoda,"The OVA series Sonic Soldier Borgman serves as a sequel to the 1980s television series about an elite squad of bio-enhanced, crime-fighting humans known as Borgmen. Picking up several years after the dissolution of the original Borgman team, this volume reunites the three remaining members--rocket scientist Ryo, his girlfriend Anise, and police officer Chuck Sweager--... Read all",30m,Sonic Soldier Borgman: Lover's Rain
5,--,--,Gustavo Cascon,Wilson GreyJosé JoffilyAna Elisa Poppe,,10m,O Combustível do Futuro
6,--,94%,Alexander HallAdam Schreiber,Alexander Hall,"When an evil alien creature traps two brothers inside their house, there is only one solution...War.",35m,Brothers In Arms
7,--,--,Robert Pfitzner,Robert Pfitzner,,--,Cargo from Cairo
8,--,--,David Kent-Watson,Cliff Twemlow,,35m,Bad Weekend
9,--,--,Brian Bradley,Brian Bradley,"A prisoner is forced to work as a security guard, but gets killed by his commander when he escapes trying to save a homeless woman.",--,Video Assist
10,--,97%,Paul Snell,Conrad HurttSam ReygozaPaul Snell,A male prostitute gets murdered by his customer.,--,Intolerance
11,--,--,William R. Sheridan,Neal Shusterman,"A 16-year old student is about to drop out of high school and enter a life of crime and prison, before he grows a conscience.",--,Real Men Don't Bleed
12,--,--,Ken Brewer,Ken Brewer,,5m,The Pad
13,--,--,Robert De NiroScott GlennKurt Russell,--,,--,The Making of Backdraft
14,6.3,--,Ben Hernandez,James CameronBen Hernandez,"A cyborg comes from the future, to kill a girl named Sarah Lee.",39m,Terminator
15,--,--,Ángel Fernández Santos,Ángel Fernández SantosÁngel FernándezEstrella de Miguel,"BRANDED MEMORY Nuria and her boyfriend are leaving a pub where they have just had a couple of drinks. They say goodbye to each other and Nuria takes a cab home; from that moment onwards, she will be the victim of a voyage of no return, a nightmare that will change her life and will always remain branded in her memory, in her skin.",20m,Memoria en la piel
16,--,--,Ezio Massa,Ezio Massa,,35m,La terraza
