,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
0,7.9,--,Kari Paljakka,Kari Paljakka,,20m,Nonstop
1,6.8,--,Krzysztof Kieslowski,Krzysztof Kieslowski,Seven Days a Week is truly the last documentary film Kieslowski ever directed.,18m,Seven Days a Week - CITY LIFE - Warsaw
2,6.1,--,Tracey Moffatt,Tracey Moffatt,A middle aged Aboriginal woman nurses her dying old white mother till the mother dies.,19m,Night Cries: A Rural Tragedy
3,5.6,--,Danièle HuilletJean-Marie Straub,Friedrich HölderlinDanièle HuilletJean-Marie Straub,A short story based on the work of Friedrich Hölderlin.,42m,Schwarze Sünde
4,7.1,67%,George Scribner,Gerrit GrahamSam GrahamChris Hubbell,A poor boy and a prince exchange identities and lives while the villainous Captain of the Guard plots to take advantage of this.,25m,The Prince and the Pauper
5,6.8,--,Jessie Nelson,Lynn Sharon SchwartzJessie Nelson,"A homeless family of three sleeps on a TV production stage, by day looking for a job. One day somebody finds them.",33m,"To the Moon, Alice"
6,6.1,--,Björn Runge,Björn Runge,,30m,Greger Olsson köper en bil
7,--,--,Antonio Diego Hernandez,Ignacio Ortiz,,25m,La otra orilla
8,6.6,--,Igor Kovalyov,Igor KovalyovEvgeniy Nazarenko,The relationship between a married couple shatters when a visitor reveals to the husband that his wife is secretly a hen.,13m,Ego zhena kuritsa
9,--,--,Jaime Ruiz,Uriel ChávezSusana ContrerasRocío Muñoz,Add a plot,30m,Don Chico que vuela
10,7.4,--,Nicholas Franghias,Nicholas Franghias,"On the eve of an invisible war, young Alexis serves his 21-month national military post on a remote island. The night is not easy. When through the music and the breaking news bulletins of his small radio transistor he starts receiving strange frequencies, his childhood friends, his memories, the ghosts and visions of his beloved ones materialize beside him rescuing h... Read all",30m,639 kai mia nyhtes
11,--,--,Barbara Kallir,Barbara Kallir,,30m,Tulare City Limits
12,--,--,Clay Stafford,Clay Stafford,,--,Who Really Raped Ana M.?
13,--,--,Clay Stafford,Clay Stafford,,--,We Too Were Young
14,--,--,Scott Kirby,Scott Kirby,"1914, on the eve of WW I, two royal bodyguards make the trip back to England with the body of an illegitimate prince in the belly of the luxury liner The Lusitania shortly before it is torpedoed.",--,Lunchtime on the Lusitania
15,--,--,Alejandro Caballero,Rosa María BianchiAlexander DahmAarón Hernán,,8m,Ceremonia
