,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,In My Sleep,tt0326965,4,2010
1,Movie,Disconnect,tt0419692,8,2010
2,Movie,The Crazies,tt0455407,4,2010
3,Movie,The Losers,tt0480255,4,2010
4,Movie,My Soul to Take,tt0872230,10,2010
5,Movie,Psych:9,tt0901504,5,2010
6,Movie,Proie,tt0907305,7,2011
7,Movie,Truth About Kerry,tt0923954,3,2012
8,Movie,Harry Potter and the Deathly Hallows: Part 1,tt0926084,11,2010
9,Movie,Tsvetok dyavola,tt0937353,9,2010
10,Movie,White Wall,tt0969653,5,2010
11,Movie,Headhunter: The Assessment Weekend,tt0973809,8,2010
12,Movie,Dear John,tt0989757,3,2010
13,Movie,Adventure Scouts,tt0994917,10,2010
14,Movie,Dylan Dog: Dead of Night,tt1013860,4,2011
15,Movie,Alice in Wonderland,tt1014759,3,2010
16,Movie,Let the Game Begin,tt1041778,1,2010
17,Movie,Ghost Hoax,tt1046174,,2010
18,Movie,The Black Bay Sequence,tt10510738,,2010
19,Movie,Psychosomatika,tt1078591,12,2011
20,Movie,Shanghai,tt1092634,9,2010
21,Movie,Pravosudie volkov,tt1119192,10,2010
22,Movie,Di renjie: Tong tian di guo,tt1123373,9,2010
23,Movie,Shutter Island,tt1130884,2,2010
24,Movie,The Ghost Writer,tt1139328,5,2010
25,Movie,Incendiary,tt1172573,3,2010
26,Movie,All Good Things,tt1175709,12,2010
27,Movie,Shelter,tt1179069,3,2013
28,Movie,Les aventures extraordinaires d'Adèle Blanc-Sec,tt1179025,4,2010
29,Movie,A Nightmare on Elm Street,tt1179056,5,2010
30,Movie,Black Death,tt1181791,6,2010
31,Movie,Le village des ombres,tt1183307,11,2010
32,Movie,Right Yaaa Wrong,tt1191130,3,2010
33,Movie,Lapse,tt1198133,8,2010
34,Movie,Snatched!,tt1210047,7,2010
35,Movie,Mercy,tt1213590,6,2010
36,Movie,Legend of the Guardians: The Owls of Ga'Hoole,tt1219342,9,2010
37,Movie,Zwart water,tt1223980,3,2010
38,Movie,Edge of Darkness,tt1226273,1,2010
39,Movie,Isolerad,tt1227555,6,2012
40,Movie,Let Me In,tt1228987,1,2011
41,Movie,Mistérios de Lisboa,tt1236371,5,2011
42,Movie,Twisted Path,tt1241258,,2010
43,Movie,La herencia Valdemar,tt1242744,1,2010
44,Movie,Magic Man,tt1244588,6,2010
45,Movie,Incendies,tt1255953,2,2011
