,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,Anderson's Cross,tt0393049,5,2010
1,Movie,Rapunzel,tt0398286,12,2010
2,Movie,"Cargo, les hommes perdus.",tt0437462,8,2010
3,Movie,Milenge Milenge,tt0443331,7,2010
4,Movie,Scott Pilgrim vs. the World,tt0446029,11,2010
5,Movie,Piranha 3D,tt0464154,9,2010
6,Movie,Barry Munday,tt0482461,3,2010
7,Movie,Bandeiji,tt0482459,1,2010
8,Movie,Tranced,tt0499608,,2010
9,Movie,Love & Other Drugs,tt0758752,1,2011
10,Movie,Eu e Meu Guarda-Chuva,tt0768187,10,2010
11,Movie,Night Catches Us,tt0775543,12,2010
12,Movie,The First Grader,tt0790663,8,2011
13,Movie,It's Kind of a Funny Story,tt0804497,10,2010
14,Movie,She's Out of My League,tt0815236,6,2010
15,Movie,Valentine's Day,tt0817230,2,2010
16,Movie,Flipped,tt0817177,9,2010
17,Movie,The Kids Are All Right,tt0842926,12,2010
18,Movie,Killer by Nature,tt0844866,,2010
19,Movie,Kolorádó Kid,tt0856796,10,2010
20,Movie,Eat Pray Love,tt0879870,10,2010
21,Movie,AIR: The Musical,tt0882741,4,2010
22,Movie,The Switch,tt0889573,10,2010
23,Movie,Letters to Juliet,tt0892318,6,2010
24,Movie,Shrek Forever After,tt0892791,7,2010
25,Movie,Movin' In,tt0910926,8,2010
26,Movie,De gelukkige huisvrouw,tt0920459,4,2010
27,Movie,Tsvetok dyavola,tt0937353,9,2010
28,Movie,Dom Solntsa,tt0962764,4,2010
29,Movie,L'imbroglio nel lenzuolo,tt0965429,6,2010
30,Movie,Little Fockers,tt0970866,12,2010
31,Movie,Multiple Sarcasms,tt0984210,4,2010
32,Movie,A Flat,tt0988655,11,2010
33,Movie,Dear John,tt0989757,3,2010
34,Movie,Megamind,tt1001526,12,2010
35,Movie,The Cursed,tt1016090,2,2010
36,Movie,Prime of Your Life,tt1016226,,2010
37,Movie,Copie conforme,tt1020773,8,2010
38,Movie,The Bounty Hunter,tt1038919,4,2010
39,Movie,"O: love, beauty, pain, struggle",tt10417654,2,2010
40,Movie,Aaj Kal,tt1047439,2,2010
41,Movie,Howl,tt1049402,5,2011
42,Movie,Life as We Know It,tt1055292,10,2010
43,Movie,Habana Eva,tt1069246,5,2010
44,Movie,Elvis & Madona,tt1071211,9,2011
45,Movie,Jelly,tt1071877,,2010
46,Movie,See You in September,tt1073246,4,2010
47,Movie,Shanghai,tt1092634,9,2010
48,Movie,Orsova Noua 5: Epilog,tt10931336,,2010
49,Movie,Frenchy,tt1286146,1,2022
50,Movie,Killers,tt1103153,6,2010
51,Movie,Dil,tt11057942,11,2010
52,Movie,Ae Bhaujee Ke Sister,tt11114760,,2010
53,Movie,Carmen's Kiss,tt1116183,11,2017
