,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,50 Feet of String,tt0210470,,1995
1,Movie,Los pájaros se van con la muerte,tt0247643,6,2011
2,Movie,Spy,tt0372538,8,2011
3,Movie,Extremely Loud & Incredibly Close,tt0477302,3,2012
4,Movie,Atlas Shrugged: Part I,tt0480239,4,2011
5,Movie,Double Tap,tt0490847,,2014
6,Movie,Hoodwinked Too! Hood vs. Evil,tt0844993,7,2011
7,Movie,Katharsis,tt0865911,4,2011
8,Movie,Blur,tt0893310,,
9,Movie,The Thing,tt0905372,11,2011
10,Movie,Source Code,tt0945513,6,2011
11,Movie,Hugo,tt0970179,2,2012
12,Movie,The Adventures of Tintin,tt0983193,10,2011
13,Movie,The Murderer: Hamilton Palace,tt10092776,8,2011
14,Movie,Xing ying bu li,tt1032763,5,2012
15,Movie,Até Onde?,tt1060240,6,2011
16,Movie,The Rite,tt1161864,3,2011
17,Movie,The Lincoln Lawyer,tt1189340,4,2011
18,Movie,Harry Potter and the Deathly Hallows: Part 2,tt1201607,7,2011
19,Movie,The Disappearance of Jennifer Pope,tt12106140,,2011
20,Movie,Seeking Justice,tt1214962,5,2012
21,Movie,We Need to Talk About Kevin,tt1242460,12,2011
22,Movie,Phoenix Falling,tt1258205,11,2017
23,Movie,The Cabin in the Woods,tt1259521,4,2012
24,Movie,Scream 4,tt1262416,4,2011
25,Movie,Saluda al diablo de mi parte,tt1262415,8,2011
26,Movie,Pig,tt1262414,7,2015
27,Movie,Ghost Phone: Phone Calls from the Dead,tt1263779,,2011
28,Movie,Patient 17,tt1307067,,
29,Movie,NokotaHeart,tt1307990,,2011
30,Movie,The Preening Swan,tt1319730,11,2011
31,Movie,Cornered,tt1323592,12,2011
32,Movie,Choose,tt1325723,3,2012
33,Movie,The Resident,tt1334102,4,2011
34,Movie,The Shadows,tt1337022,8,2019
35,Movie,Tinker Tailor Soldier Spy,tt1340800,12,2011
36,Movie,Pryachsya,tt1346629,12,2011
37,Movie,Strawberry Cliff,tt1350510,12,2011
38,Movie,Final Level,tt1352368,,2011
39,Movie,The Bad Penny,tt1356392,4,2014
40,Movie,Chatur Singh Two Star,tt1363363,8,2011
41,Movie,Love Is a Thieves' Game,tt1380912,1,2013
42,Movie,Hilltop Cemetery,tt1390410,12,2011
43,Movie,Unknown,tt1401152,5,2011
44,Movie,The Fields,tt1401236,9,2011
45,Movie,The Moth Diaries,tt1407065,5,2012
46,Movie,Hellgate,tt1430116,6,2011
47,Movie,Till Sunset,tt1436046,5,2012
48,Movie,Faust,tt1437357,2,2012
49,Movie,Martha Marcy May Marlene,tt1441326,4,2012
50,Movie,Biester müssen sterben,tt1442205,,
51,Movie,Heksje Lilly en de Reis naar Mandolan,tt1452293,4,2011
52,Movie,Shivam,tt14539742,6,2011
53,Movie,The Other Side of Sleep,tt1455825,4,2012
54,Movie,Searching for Sonny,tt1456939,10,2011
55,Movie,Dream House,tt1462041,11,2011
56,Movie,Tarsina cevrilan dunya,tt14629498,6,2011
57,Movie,Angle mort,tt1466568,2,2011
58,Movie,The Aswang Phenomenon,tt1472559,10,2011
59,Movie,Fatal Consequences,tt1478805,1,2011
60,Movie,Red Riding Hood,tt1486185,4,2011
61,Movie,Shuffle,tt1488594,10,2011
62,Movie,The Whisperer in Darkness,tt1498878,4,2011
63,Movie,Fake,tt1507566,5,2011
64,Movie,Eroded,tt1510912,3,2011
65,Movie,A New Design,tt1512697,1,2011
