,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Movie,Dirt Music,tt0810836,10,2020
1,Movie,A Christmas Prince: The Royal Baby,tt10006006,12,2019
2,Movie,Trouble Makers,tt10009342,1,2019
3,Movie,Kader Postasi,tt10015248,12,2019
4,Movie,Ispade Rajavum Idhaya Raniyum,tt10016532,3,2019
5,Movie,The Protector,tt10022384,2,2019
6,Movie,Between Maybes,tt10044704,5,2019
7,Movie,Gail's New Boyfriend,tt10045688,5,2019
8,Movie,Odd Love,tt10043646,11,2019
9,Movie,Angel Sign,tt10053058,11,2019
10,Movie,Sale dovom daneshkadeh man,tt10059236,10,2019
11,Movie,The Knight Before Christmas,tt10060094,11,2019
12,Movie,Jaddi Sardar,tt10064270,9,2019
13,Movie,Mantan Manten,tt10066526,4,2019
14,Movie,Eigaban Futari ecchi: Rabu agein,tt10068184,4,2019
15,Movie,Last Fool Show,tt10074426,4,2019
16,Movie,Mooga Manasulu,tt10075912,12,2019
17,Movie,Single & Ready,tt10077042,4,2019
18,Movie,Manmadhudu 2,tt10076106,8,2019
19,Movie,Pansamantagal,tt10078132,3,2019
20,Movie,En Brazos de un Asesino,tt10080270,12,2019
21,Movie,Chandigarh Amritsar Chandigarh,tt10084190,5,2019
22,Movie,Impossible to Imagine,tt10086930,3,2019
23,Movie,War of the Youth: Love Reload,tt10086448,2,2019
24,Movie,Cuôc Goi Dinh Mênh,tt10083094,3,2019
25,Movie,Vinara sodara veera kumara,tt10084780,3,2019
26,Movie,Auerhaus,tt10084688,12,2019
27,Movie,Holiday Rush,tt10091530,11,2019
28,Movie,Shuang sheng,tt10098374,4,2019
29,Movie,Stranded,tt10097816,4,2019
30,Movie,Patalliro!,tt10101166,6,2019
31,Movie,Dhumas,tt10106734,4,2019
32,Movie,Always a Bridesmaid,tt10108544,8,2019
33,Movie,Rose and Tulip,tt10116478,5,2019
34,Movie,Chhalawa,tt10125662,6,2019
35,Movie,A Rock N' Roll Heart,tt10140310,5,2019
36,Movie,Odessa,tt10140922,9,2019
37,Movie,Das perfekte Geheimnis,tt10145122,10,2019
38,Movie,No Storybook Love,tt10151286,4,2019
39,Movie,Heer Maan Ja,tt10152214,8,2019
40,Movie,Tujhich Re,tt10152332,6,2019
41,Movie,"Hello, Love, Goodbye",tt10156112,7,2019
42,Movie,Holiday Heist,tt10156020,11,2019
43,Movie,Single 2,tt10157842,6,2019
44,Movie,Rahaei,tt10160650,12,2019
45,Movie,NT Live: Cyrano de Bergerac,tt10160742,2,2020
46,Movie,Prem Amar 2,tt10162730,1,2019
47,Movie,Christmas Coupon,tt10165624,12,2019
48,Movie,Belle Douleur,tt10176320,8,2019
49,Movie,Oka Tupaki Moodu Pittalu,tt10180760,12,2019
50,Movie,Finding You,tt10188328,5,2019
51,Movie,Zui hao de wo men,tt10195976,6,2019
52,Movie,Wildflower,tt10195832,7,2019
53,Movie,Man & Wife,tt10195336,5,2019
54,Movie,Atlantique,tt10199586,2,2020
55,Movie,Chong ai,tt10203982,12,2019
56,Movie,Ichigo no uta,tt10206162,7,2019
57,Movie,"Gozen 0 ji, kiss shini kite yo",tt10206400,12,2019
58,Movie,Chiisana koi no uta,tt10206614,5,2019
59,Movie,Love in America,tt10208042,3,2019
60,Movie,Mogra Phulaalaa,tt10209164,6,2019
61,Movie,Christmas a la Mode,tt10210182,11,2019
62,Movie,Ahava Bi'Shlei'kes,tt10217148,4,2019
63,Movie,Edakkad Battalion 06,tt10218838,10,2019
64,Movie,A Fight for the Good Guy,tt10224122,8,2019
65,Movie,Tu mérites un amour,tt10223546,9,2019
66,Movie,Sem Seu Sangue,tt10222752,5,2019
67,Movie,Timelife,tt10224912,4,2019
68,Movie,Vif-argent,tt10224624,8,2019
69,Movie,Perdrix,tt10228204,7,2020
70,Movie,Brick,tt10227710,,
