,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Short,Pas de deux,tt0100335,,
1,Short,Arrivederci Roma,tt0099060,,
2,Short,Marilyn Hotchkiss' Ballroom Dancing and Charm School,tt0283465,10,1990
3,Short,Edison's Frankenstein,tt0309554,10,1990
4,Short,All My Relations,tt0401166,9,1990
5,Short,After You,tt0428205,,1990
6,Short,Arduous Moon,tt0816420,,1990
7,Short,Le Petit Déjeuner,tt14357996,,
8,Short,Anexitila hromata,tt1459995,,1990
9,Short,Only Because of You,tt3467646,,1990
10,Short,El espejo de dos lunas,tt7967266,,1990
11,Short,"Odnazhdy, kak-to raz...",tt28420010,,
12,Short,Resonance,tt0137191,9,1991
13,Short,Bloom,tt0270247,2,2000
14,Short,Land Where My Fathers Died,tt0457399,9,1991
15,Short,Personality Software,tt0469156,4,1991
16,Short,Les baigneurs,tt0473611,,1991
17,Short,"Aventura, Amor & Transporte Público",tt0484307,8,1991
18,Short,I gravata,tt1507292,9,1991
19,Short,Sve Zene Se Zovu Kiki,tt3230718,6,1991
20,Short,Adamu to Ivu,tt0104133,,
21,Short,Prélude,tt0136479,,
22,Short,Cita en el paraíso,tt0150138,,
23,Short,Objetos perdidos,tt0151790,,
24,Short,Let's Dance,tt0234093,,
25,Short,Bad Company,tt0295872,,
26,Short,Freefall,tt0417690,,
27,Short,Now and Then,tt10810422,10,1992
28,Short,L'Ame des lieux,tt2364723,1,1992
29,Short,Promises,tt3078822,7,1992
30,Short,Solnechnyy den v kontse leta,tt4505010,,1992
31,Short,"Eux, vous, nous",tt7054188,6,1992
32,Short,El columpio,tt0103988,1,1993
33,Short,Pool Days,tt0107851,9,1993
34,Short,The Dutch Master,tt0112917,1,1996
35,Short,Aida Souka,tt0208672,,
36,Short,Straight to One,tt0311869,4,1993
37,Short,The Kiss on the Cliff,tt0345521,,1993
38,Short,Lune,tt0347450,,
39,Short,Jeanne & Hauviette,tt0400552,6,1993
40,Short,Something for Joey,tt0435401,1,1993
41,Short,You Know My Name,tt1533807,4,1993
42,Short,Les retrouvailles,tt1991098,3,1993
43,Short,La femme mariée à trois hommes,tt3649130,,1993
44,Short,Cupido,tt5191292,11,1993
45,Short,Kissing Time,tt5486178,9,1993
46,Short,Sweetheart,tt5807220,1,1993
47,Short,Daal Mein Kala,tt5807298,1,1993
48,Short,Chori Chori,tt5807286,1,1993
49,Short,Kiss wa Hitomi ni Shite,tt16347646,8,1993
50,Short,Dior: Miss Dior Le mariage,tt17163880,,1993
51,Short,Delilah,tt27010212,9,1993
52,Short,Cancer in Two Voices,tt0109371,,
53,Short,Thick Lips Thin Lips,tt0111410,2,1994
54,Short,The Cloud Door,tt0112694,9,1994
55,Short,"Death in Venice, CA",tt0111938,10,1994
56,Short,Nunzio's Second Cousin,tt0119812,10,1994
57,Short,Dans un grand lit carré,tt0225467,,
58,Short,O Robô,tt0288198,11,1994
59,Short,D'estate,tt0342240,,
60,Short,Heatwave,tt0345382,,
61,Short,If Only,tt0345423,5,1994
62,Short,Catalina,tt0390955,9,1994
63,Short,Infatuation,tt0439629,12,1994
64,Short,Une femme au soleil,tt0833551,,1994
65,Short,For All It's Worth,tt1024844,9,1994
66,Short,"Specchio, Specchio delle mie brame",tt1204394,,1994
67,Short,"Oh, What a Day! 1914",tt15209906,11,1994
68,Short,Ujungsanchaeg,tt15614506,,1994
69,Short,Nymfios,tt1579826,9,1994
70,Short,Double Fantasy,tt4384210,3,1994
71,Short,De De De,tt5396478,1,1994
72,Short,Maria,tt5497014,1,1994
73,Short,El beso perfecto,tt0109242,7,1995
74,Short,Amodu,tt0112350,,
75,Short,9 1/2 Minuten,tt0112264,,
76,Short,Amor & Alquimia,tt0112351,10,1995
77,Short,Poppycock,tt0114160,,
78,Short,Why I'll Never Trust You (In 200 Words or Less),tt0114932,4,2006
79,Short,8:00a.m.,tt0155462,,
80,Short,Sensin - Du bist es!,tt0162646,10,1995
81,Short,"Polifem, Akid i Galateya",tt0217735,,
82,Short,Rivaler i kärlek,tt0357101,,
83,Short,13. kesä,tt0360324,,
84,Short,Meeting Magdalene,tt0420772,10,1995
85,Short,"Amour, toujours...",tt0423815,,1995
86,Short,Estar a tiempo,tt0445357,,1995
87,Short,Al as in Al,tt0780466,,1995
88,Short,Blanks,tt0997239,,1995
89,Short,Mirko e Caterina,tt10613586,,1995
90,Short,A Little Loving,tt1418782,,1995
91,Short,She's So Cold,tt1446494,5,1995
92,Short,I gefyra,tt1500715,,1995
93,Short,The Waiter in Slow Motion,tt1663695,2,1995
94,Short,Meet Cute,tt1786582,11,1995
95,Short,LA Waltz,tt1897952,5,1995
96,Short,Sirpalesatu,tt2013267,3,1995
97,Short,Book of Dreams: Dream 7 - Ruben's Dream,tt4693922,,1995
98,Short,Boom Boom,tt4925992,1,1995
99,Short,Amor,tt5260350,12,1995
100,Short,Lover Girl,tt5396492,1,1995
101,Short,Khabar Mere Marne Ki Sunte He,tt5489208,1,1995
102,Short,Mera Dard Tum Na Samajh Sake,tt5489216,1,1995
103,Short,Kahan Gaya Bedardi,tt5489224,1,1995
104,Short,Ishq Me Hum Tumhe Kya,tt5492456,1,1995
105,Short,Dil Dukhane Se Hi Gar Qaraar Aaye,tt5504270,1,1995
106,Short,Teri Kasam Teri Raahon Mein Aakar,tt5506570,1,1995
107,Short,A Cry In The Night,tt7544166,11,1995
108,Short,Mr Ikegami's Flight,tt29226233,,1995
109,Short,De wachtkamer,tt0114884,,1996
110,Short,"Milk and Cookies, or The Ballad of Norman Saxon",tt0117047,,
111,Short,Jenseits von Schweden,tt0116694,,
112,Short,Garage Sale,tt0116394,10,1996
113,Short,Contos da Rua,tt0115941,,
114,Short,Planet Man,tt0117347,,
115,Short,Une robe d'été,tt0118036,,1996
116,Short,Fortune Tell,tt0129935,,
117,Short,A Garden for Rio,tt0139233,,
118,Short,C4,tt0158541,,
119,Short,Mr. October,tt0209160,,
120,Short,CheckMating,tt0222970,,
121,Short,Gift Long Time a Coming,tt0233794,,
122,Short,Cynara: Poetry in Motion,tt0245850,,
123,Short,Le fantôme de Longstaff,tt0258566,,
124,Short,Une chambre pour la nuit,tt0272912,,
125,Short,L'amateur,tt0287911,12,1996
126,Short,Vive le cinéma!,tt0346117,,
127,Short,wkw/tk/1996@7'55''hk.net,tt0379067,,1996
128,Short,56 fois par semaine,tt0406499,,
129,Short,La méprise,tt0435216,,
130,Short,Duo: The True Story of a Gifted Child with Down Syndrome,tt0460441,5,1996
131,Short,Wheels Are Turning,tt0940844,11,1996
132,Short,Was It Something I Said?,tt1263806,11,1996
133,Short,Afrodita,tt15399144,,1996
134,Short,Fantasyland,tt1592869,10,1996
135,Short,Sunset Park High,tt2404629,4,1996
136,Short,Not Go Fishing,tt2836426,8,1996
137,Short,Sugared Peas,tt3917450,,2007
138,Short,Bekaraar,tt4911086,1,1996
139,Short,Dil Cheez,tt4931716,1,1996
140,Short,Aafreen Aafreen,tt4947576,1,1996
141,Short,Oova Ova,tt5396462,1,1996
142,Short,Dhuan Dhuan,tt5425276,1,1996
143,Short,O O Jaane Jaana,tt5439746,1,1996
144,Short,Ik Ladki Pyari Pyari,tt5504142,1,1996
145,Short,Ja Rahe Ho Pardes,tt5807240,1,1996
146,Short,Marisa Turner: Deeper in the Night,tt7344476,,1996
147,Short,Nikolai Tomás: Hi Hi Hi,tt8819366,,1996
148,Short,Metalguru,tt7069244,,1996
149,Short,Instantes de amor,tt26423745,1,1996
150,Short,Spitfire 1 2 3,tt28611857,,1996
151,Short,976-WISH,tt0118543,4,1997
152,Short,Children of the 80's,tt0118848,10,1997
153,Short,The Third Party,tt0120320,7,1997
154,Short,Sausages,tt0120069,,
155,Short,Candy Floss,tt0122424,,
156,Short,Lily and Jim,tt0123970,10,1997
157,Short,Last Flight to Minneapolis,tt0134775,,
158,Short,Bryllupsnatten,tt0142140,,
159,Short,Sigh No More Mortals,tt0144820,,
160,Short,Sharzadeh Scampolo,tt0157026,,
161,Short,Two in the Morning,tt0162025,,
162,Short,"Tiina, tule takaisin",tt0164202,3,1997
163,Short,Happenstance,tt0164045,4,1997
164,Short,The Clearing,tt0176614,4,1997
165,Short,The Third Wheel,tt0180246,11,1997
166,Short,The Touch,tt0180255,,
167,Short,Ogginoggen,tt0186415,7,1997
168,Short,Over the Rainbow,tt0188119,5,1997
169,Short,Kysset som fikk snøen til å smelte,tt0203625,12,2003
170,Short,The Oval Portrait,tt0221465,,1997
171,Short,Palmyra,tt0272771,,
172,Short,Doucement,tt0272589,,
173,Short,Acquiring a Taste for Raffaella,tt0298719,6,1997
174,Short,The Wave,tt0313767,8,1997
175,Short,Horse Dreams in BBQ Country,tt0325578,4,1997
176,Short,Entre la sombra y el alma,tt0346944,,
177,Short,The Blue Boy,tt0356428,8,1997
178,Short,Nobody I Know,tt0365563,6,1997
179,Short,Tumbling After,tt0432169,,
180,Short,"Six Months of Darkness, Six Months of Light",tt0431403,9,1997
181,Short,Top of the World,tt0434395,,
182,Short,Los amantes de Bulgaria,tt0446106,,1997
183,Short,La carta azul de Ana,tt0465705,,
184,Short,Átimo,tt0816714,8,1997
185,Short,Used Cars,tt1052055,,1997
186,Short,Les puceaux,tt10781752,2,1997
187,Short,Die Klavierspielerin,tt1148693,8,1997
188,Short,Chance for Love,tt12137806,2,1997
189,Short,Lullaby,tt12221020,,1997
190,Short,Connections,tt12473922,,1997
191,Short,Greater Than a Tiger,tt1382246,11,2007
192,Short,Angel House,tt1876245,8,1997
193,Short,Mirai kara no okurimono,tt2110431,,
194,Short,Token of Love,tt2184162,6,1997
195,Short,Jaanam Samjha Karo,tt4914084,1,1997
196,Short,Mera Laung Gawacha,tt4925960,1,1997
197,Short,Gur Naal Ishq Mitha,tt4930132,1,1997
198,Short,Aap Jaisa Koi Mere Zindagi,tt4926012,1,1997
199,Short,Piya Tu Ab To Aaja,tt4928346,1,1997
200,Short,Sapne Ki Baat Main Bataun,tt5368142,1,1997
201,Short,Pya Re Piya Re,tt5368222,1,1997
202,Short,Deewane To Deewane Hain,tt5374948,1,1997
203,Short,Dil Kya Kare,tt5374994,1,1997
204,Short,Tum to Thehre Pardesi,tt5375222,1,1997
205,Short,Johnny Joker,tt5396400,1,1997
206,Short,Haseena,tt5396444,1,1997
207,Short,Aise Na Mujhe Tum Dekho,tt5425288,1,1997
208,Short,Lal Garara,tt5425478,1,1997
209,Short,Tum Mujhko Chuna Naa,tt5435630,1,1997
210,Short,Das Gayo Paapi Bichhuda,tt5435620,1,1997
211,Short,Guzare Zamane,tt5443146,1,1997
212,Short,Koyta Koyta,tt5454872,1,1997
213,Short,Aaya Tha Churane,tt5454984,1,1997
214,Short,Mera Yaar Mera Yaar Aayega,tt5458112,1,1997
215,Short,Pyar Aur Mohabbat Ka,tt5489290,1,1997
216,Short,Ambar Sare De Papad,tt5508502,1,1997
217,Short,Es Geschah in Gotha,tt21109540,,1997
218,Short,Pas de nouvelles d'Isabelle,tt27865965,,1997
219,Short,Bridal Path,tt0145684,8,1998
220,Short,Pony Glass,tt0145399,11,1998
221,Short,The Cycle of Love,tt0155645,5,1998
222,Short,Torn,tt0158279,1,1998
223,Short,Landarzt Dr. Oetkker - Trailer,tt0159523,,
224,Short,The Man Who Held His Breath,tt0160510,5,1998
225,Short,Boy Meets Girl,tt0168538,5,1998
226,Short,Scènes de lit,tt0166793,6,1998
227,Short,Shoes Off!,tt0169226,9,1998
228,Short,Here Comes Your Man,tt0168859,,
229,Short,Cupid,tt0172279,9,1998
230,Short,Il suffirait d'un pont,tt0176836,,
231,Short,Så smukt,tt0183846,,
232,Short,Hide N' Seek,tt0187878,,
233,Short,Rencontre à New York,tt0192362,,
234,Short,1001 Nights,tt0193688,,
235,Short,Knock It Down,tt0197608,,
236,Short,The Violin Fantasy,tt0204728,,
237,Short,Godzilla Versus Disco Lando,tt0215811,,
238,Short,Insomnia,tt0219831,,
239,Short,Two Weeks Later,tt0250075,,
240,Short,Just One Time,tt0253166,6,1998
241,Short,I Want You,tt0263459,5,1998
242,Short,The Prospector,tt0268550,,
243,Short,Cheot sarang,tt0276960,12,1998
244,Short,Mein Revier,tt0283475,4,1998
245,Short,Milk and Honey,tt0316251,10,1998
246,Short,Distress Signals,tt0337979,8,1998
247,Short,Quenton (Queerbait),tt0348864,4,1998
248,Short,Bermuda,tt0350606,5,1998
249,Short,Italian Lessons,tt0356749,8,1998
250,Short,Daydream Believer,tt0362542,11,1998
251,Short,Yellow Fever,tt0367252,6,1998
252,Short,Patagonia,tt0371067,10,1998
253,Short,On a Sidewalk in the Fall,tt0380600,5,1998
254,Short,The Laundromat Trilogy,tt0408988,7,1998
255,Short,Machine Love,tt0414253,10,1998
256,Short,Three Chords and a Wardrobe,tt0417195,,1998
257,Short,The Cowboy and the Ballerina,tt0439517,10,1998
258,Short,Crossroads,tt0463297,11,1998
259,Short,Bang bang!,tt0498992,,1998
260,Short,Goodbye Emma Jo,tt0500155,4,1998
261,Short,By the Seat of the Pants,tt0815124,9,1998
262,Short,Cha cha cha,tt0826045,,1998
263,Short,Bana Old and Wise'i Çal,tt0853084,1,1998
264,Short,Gastrointestinal Blues,tt1291185,5,1998
265,Short,Hard Ride,tt1419330,,
266,Short,"Tú, yo y García Márquez",tt14566332,11,1998
267,Short,The Story of Dr. Harold Moody,tt1876504,10,1998
268,Short,Haru no sora,tt2020042,,
269,Short,Garbage,tt2085801,6,1998
270,Short,A moza do último,tt2938194,10,1998
271,Short,Yeh Wadiyan,tt4913348,1,1998
272,Short,Wo Kaun Thi,tt4908636,1,1998
273,Short,Tu,tt4914438,1,1998
274,Short,Tere Bin Jeena Nahin,tt4925978,1,1998
275,Short,Valentines Day,tt4936012,1,1998
276,Short,Pehla Din Hai College Ka,tt4935994,1,1998
277,Short,We're Just Joking,tt4936026,1,1998
278,Short,Jalwa,tt4947590,1,1998
279,Short,Purani Jeans,tt5360542,1,1998
280,Short,Chandni Raatain,tt5365126,1,1998
281,Short,Aur Ahista Kijiye Baatein,tt5368094,1,1998
282,Short,Yaro Sab Dua Karo,tt5375200,1,1998
283,Short,Ho Gayi Hain Mohabbat Tumse,tt5395666,1,1998
284,Short,Aaja Nachle,tt5439808,1,1998
285,Short,Aaja Soniya Ghar Aaja Soniya,tt5439832,1,1998
286,Short,Prem,tt5442734,1,1998
287,Short,Bol Bol Sach Bol,tt5442882,1,1998
288,Short,Jab Koi Tha,tt5442868,1,1998
289,Short,Ladkiyaan,tt5442854,1,1998
290,Short,Mere Sapnon Ki Rani (Remix),tt5442820,1,1998
291,Short,Peeli Skirtwali,tt5443114,1,1998
292,Short,Salame Ishq Meri Jaan,tt5459926,1,1998
293,Short,Soni Lagdi,tt5462350,1,1998
294,Short,Deti Hain Jaan Mujh Pe,tt5481990,1,1998
295,Short,Angel's Love,tt5484816,4,1998
296,Short,Masoom Tera Chehra,tt5500266,1,1998
297,Short,Origami,tt20426138,,1998
298,Short,Lover's Leap,tt26443516,,1998
299,Short,Midsummer,tt0119669,4,1999
300,Short,Seventeen Thousand,tt0120103,,
301,Short,Dillinger in Paradise,tt0138401,8,1999
302,Short,Brokendown Love Story,tt0176572,,
303,Short,George Lucas in Love,tt0203523,9,1999
304,Short,Springtime in Hell,tt0204648,,
305,Short,Wild Card,tt0207206,,
306,Short,Pád,tt0206229,1,2000
307,Short,Tide,tt0218665,,
308,Short,A Clean Break,tt0223003,,
309,Short,Back Room,tt0231210,11,1999
310,Short,Crimson Wings,tt0233499,,
311,Short,Dolphins,tt0240457,4,2000
312,Short,Deadtime,tt0245860,10,1999
313,Short,De Feniks,tt0251698,,
314,Short,Switch,tt0252031,9,1999
315,Short,Second Date,tt0253661,9,1999
316,Short,Schlafmann,tt0266939,,
317,Short,The Dancing Man,tt0276891,,
318,Short,Emma,tt0280634,8,1999
319,Short,The Pick-up,tt0281066,8,1999
320,Short,S. geht rund,tt0284441,,
321,Short,Trojka,tt0286246,,
322,Short,Sari & Trainers,tt0303008,,
323,Short,La jeune fille et la tortue,tt0322841,10,1999
324,Short,Heads and Tails,tt0336553,11,1999
325,Short,Wavelengths,tt0340425,6,1999
326,Short,Exodos,tt0365174,,
327,Short,Ginger Beer,tt0366516,6,1999
