,Tipo,Título,ID,Mes Estreno,Año Estreno
0,Short,A Ilha,tt0099861,,
1,Short,The Awakening,tt0165097,,
2,Short,Por los viejos tiempos,tt0244142,,
3,Short,Who Really Raped Ana M.?,tt0357313,4,1990
4,Short,We Too Were Young,tt0357305,2,1990
5,Short,Tambien la muerte puede morir,tt0375124,,
6,Short,Dialog,tt0476056,,2015
7,Short,The Funtastic World of Hanna-Barbera,tt0902978,5,1990
8,Short,The Lake,tt10078494,11,1990
9,Short,Samuel,tt1037846,,1990
10,Short,Dvynys,tt4863918,,1990
11,Short,Confrontation,tt5537764,6,1990
12,Short,Roadkill,tt8119162,3,1990
13,Short,O Gémeo Diferente,tt0099723,2,1991
14,Short,Thwarted,tt0165984,6,1991
15,Short,Within the Shadows,tt0357318,9,1991
16,Short,The Colors of Johnny,tt0356477,4,1991
17,Short,Tessa,tt0824705,,1991
18,Short,Stimuli,tt14818036,1,1991
19,Short,Journey to the End,tt27927866,,1991
20,Short,Memoria en la piel,tt0228582,10,1992
21,Short,The Inheritance,tt0233940,,
22,Short,Deseo oculto,tt0260852,,
23,Short,Le pélican,tt0318002,10,1992
24,Short,The Jewel of Death,tt0422530,9,1992
25,Short,Corazones de terciopelo,tt0429826,4,1992
26,Short,El ultimo,tt0435485,,1992
27,Short,Reflejos,tt0436708,,1992
28,Short,Rosas de luna,tt0438381,,1992
29,Short,The M1nute,tt12141716,5,1992
30,Short,Secret Garden,tt12323414,,1992
31,Short,Sie kamen bei Nacht,tt13139798,,
32,Short,Spirit of Place,tt1430118,6,1992
33,Short,Trail of the Werewolf,tt15485232,,1992
34,Short,Jaque Mate,tt1740780,5,1992
35,Short,Kompleks nevmenyaemosti,tt2672070,,1992
36,Short,Die Wohnung,tt3597000,,1992
37,Short,Late Night Visitor,tt8928040,10,2017
38,Short,The Wrong Trousers,tt0108598,7,1994
39,Short,I Am the Night,tt0136258,9,1993
40,Short,Me voy a escapar,tt0151517,10,1993
41,Short,Perseguida,tt0215052,,
42,Short,Silent Number,tt0308894,,
43,Short,Welcome Home,tt0457205,,1993
44,Short,Fantoccio,tt0476225,8,1993
45,Short,Infernalário: Logodédalo - Galáxia Dark,tt13132584,,1993
46,Short,Good luck tram,tt15116062,,1993
47,Short,Les quatre lumières,tt1949565,9,1993
